batter_id,name,batter_hand,team,slot,pitcher,pitcher_hand,opp_pitcher_id,game_pk,matchup,start_time,game_date,game_state,p_hit,hit_odds,no_hit_odds,yes_cents,has_hit,last5,lineup_source,bvp_ab,bvp_h,bvp_avg,b_hit_rate,b_xba,b_hardhit,b_n_games,b_days_rest,platoon_adv,park_factor,p_rating,p_grade,p_csw,p_k_bb,p_hardhit_allowed,p_n_games,p_days_rest,is_opener,b_hit_rate_vs_L,b_hit_rate_vs_R
665161,Jeremy Peña,R,HOU,1,Troy Melton,R,675512,824258,HOU @ DET,3:40 PM,25/06,Final,0.6782053883387263,,,,True,0111101101,live,0,0,0.0,0.2717725530617246,0.30884857153304024,0.4223606022800195,20,1,0,1.0,59.0,C,0.2465437788018433,2.180120219729998,0.36536523067016957,5,5,0,0.19444444444444445,0.31007751937984496
607208,Trea Turner,R,PHI,1,Cade Cavalli,R,676917,822717,PHI @ WSH,3:45 PM,25/06,Final,0.6755826232101573,,,72.0,True,1001011011,live,1,0,0.0,0.23955274309228003,0.34367422813910903,0.3579075931370255,20,1,0,1.045,47.7,D,0.2974683544303797,2.688756314026489,0.41607460055767426,15,5,0,0.21705426356589147,0.23118279569892472
678882,Ceddanne Rafaela,R,BOS,2,Cam Schlittler,R,693645,824747,NYY @ BOS,4:10 PM,25/06,Final,0.6749777578164856,-190,142,,True,1011111011,live,1,1,1.0,0.2885284923549624,0.318388200769613,0.3726690478705173,20,1,0,1.07,73.5,B,0.2918395573997234,6.405089977864863,0.3854392175177227,16,6,0,0.28378378378378377,0.28205128205128205
694671,Wyatt Langford,R,TEX,2,Kevin Gausman,R,592332,822797,TEX @ TOR,4:07 PM,25/06,Final,0.6732572286311992,-184,138,,True,1011111011,live,0,0,0.0,0.31021028195005385,0.31373521536784726,0.3611997828721398,20,1,0,0.985,72.1,B,0.2847411444141689,3.6610490761628847,0.36977553432188115,16,6,0,0.23684210526315788,0.2909090909090909
691026,Masyn Winn,R,STL,6,Zac Gallen,R,668678,823042,AZ @ STL,4:45 PM,25/06,Postponed,0.6716240404835081,-228,169,,False,0011111111,estimated,0,0,0.0,0.268088453301585,0.342520745446253,0.4232054442782258,20,1,0,1.035,32.5,F,0.26026336173508907,2.210234324548567,0.41462842103626146,15,5,0,0.2833333333333333,0.23469387755102042
682998,Corbin Carroll,L,AZ,3,Michael Mcgreevy,R,700241,823042,AZ @ STL,4:45 PM,25/06,Postponed,0.6716240404835081,-255,188,,False,0111101101,estimated,0,0,0.0,0.24367789291955863,0.33636336844346837,0.41468819999051504,20,1,1,1.035,39.8,D,0.24905087319665908,2.5218931841461534,0.4110218604499318,15,6,0,0.4074074074074074,0.22772277227722773
641355,Cody Bellinger,L,NYY,4,Connelly Early,L,813349,824747,NYY @ BOS,4:10 PM,25/06,Final,0.6687909200687558,-245,181,64.0,False,0110011001,live,1,0,0.0,0.2367358876809376,0.34578950987927914,0.36391316880110375,20,1,0,1.07,61.0,C,0.28102189781021897,2.5824408155166583,0.40264786695100463,15,5,0,0.30392156862745096,0.2542372881355932
691718,Pete Crow-Armstrong,L,CHC,1,Freddy Peralta,R,642547,823612,CHC @ NYM,4:10 PM,25/06,Final,0.6687909200687558,-244,180,50.0,True,1111111111,live,1,0,0.0,0.4206170750954601,0.46464487003860677,0.5822065816837957,20,1,1,0.935,49.3,D,0.26713286713286716,2.2141751052877328,0.4028487540916878,15,5,0,0.2876712328767123,0.28125
665742,Juan Soto,L,NYM,3,Matt Boyd,L,571510,823612,CHC @ NYM,4:10 PM,25/06,Final,0.6687909200687558,-194,145,58.0,True,1110111110,live,0,0,0.0,0.3011108036994741,0.3469719410813857,0.499822835721499,20,2,0,0.935,62.7,C,0.29427792915531337,,,4,53,0,0.35185185185185186,0.27607361963190186
663968,Jake Mangum,L,PIT,1,Bryce Miller,R,682243,823366,SEA @ PIT,9:35 AM,25/06,Final,0.6670519100901527,-182,136,,False,0111111101,live,0,0,0.0,0.3384853851769181,0.3137156496565884,0.24643240572254604,20,1,1,1.01,90.4,A,0.28647686832740216,10.920994854721954,0.2734544422656203,7,6,0,0.25,0.31451612903225806
666018,Jonathan Aranda,L,TB,2,Seth Lugo,R,607625,822961,KC @ TB,9:10 AM,25/06,Final,0.6654187219424617,-232,172,,True,1101111111,live,0,0,0.0,0.299007001183332,0.3155641933104389,0.3347399087459854,20,1,1,0.955,34.0,F,0.2593144560357675,2.1687084084125483,0.44911204837285496,15,6,0,0.2692307692307692,0.28205128205128205
