batter_id,name,batter_hand,team,slot,pitcher,pitcher_hand,opp_pitcher_id,game_pk,matchup,start_time,game_date,game_state,p_hit,hit_odds,no_hit_odds,yes_cents,has_hit,last5,lineup_source,bvp_ab,bvp_h,bvp_avg,b_hit_rate,b_xba,b_hardhit,b_babip,b_n_games,b_days_rest,split_diff,park_factor,p_rating,p_grade,p_csw,p_k_bb,p_hardhit_allowed,p_n_games,p_days_rest,is_opener,b_hit_rate_vs_L,b_hit_rate_vs_R,p_use_fb,p_use_bb,p_use_os,b_hr_vs_fb,b_hr_vs_bb,b_hr_vs_os,b_hr_overall
672640,Otto Lopez,R,MIA,1,Sean Sullivan,L,807743,824339,MIA @ COL,5:40 PM,29/06,Final,0.7936580086580086,,,,True,0111111010,live,0,0,0.0,0.31203437907405307,0.30763936929998864,0.36202484680442515,0.3461082502719209,20,1,0.11964593066142121,1.148,50.0,C,0.24,,,3,6,0,0.42168674698795183,0.3020408163265306,0.6755555555555556,0.19555555555555557,0.1288888888888889,0.35765838011226947,0.29901423877327493,0.35714285714285715,0.33637083993660855
807799,Masataka Yoshida,L,BOS,1,Miles Mikolas,R,571945,824741,WSH @ BOS,4:10 PM,29/06,Final,0.7471204776593998,,,,True,1111100011,live,0,0,0.0,0.29730844401832474,0.3625615577451073,0.38630030672234167,0.34579998777090315,20,1,0.0,1.063,56.7,C,0.25554642563681185,3.0234767970174574,0.40098178438562637,17,5,0,,0.25,0.5094494658997535,0.40920295809367296,0.08134757600657354,0.20257234726688103,0.172,0.26046511627906976,0.20680147058823528
678882,Ceddanne Rafaela,R,BOS,2,Miles Mikolas,R,571945,824741,WSH @ BOS,4:10 PM,29/06,Final,0.7111435710461388,,,,True,1110111010,live,0,0,0.0,0.24671754115780323,0.2921981689840764,0.29309055853559735,0.3356330160039991,20,1,0.01096246748420665,1.063,56.7,C,0.25554642563681185,3.0234767970174574,0.40098178438562637,17,5,0,0.2692307692307692,0.28019323671497587,0.5094494658997535,0.40920295809367296,0.08134757600657354,0.2930194805194805,0.2807807807807808,0.26,0.2870413376683697
803011,Sam Antonacci,L,CWS,1,Shane Baz,R,669358,824822,CWS @ BAL,3:35 PM,29/06,Final,0.7080290929316607,,,,True,1110101111,live,0,0,0.0,0.3337346536506261,0.35218173815394466,0.42544650890594965,0.40136366831433634,20,1,0.050546448087431695,1.044,45.5,D,0.26053143227478937,2.472775049423403,0.4082324732358783,16,6,0,0.25,0.3005464480874317,0.5919165580182529,0.3318122555410691,0.07627118644067797,0.28931875525651807,0.25118483412322273,0.2754098360655738,0.278415015641293
665923,Esteury Ruiz,R,MIA,3,Sean Sullivan,L,807743,824339,MIA @ COL,5:40 PM,29/06,Final,0.7080290929316607,,,,False,0110010100,live,0,0,0.0,0.3097912027181925,0.3367922609386077,0.2703889052380896,0.4107939507835613,20,1,-0.1572528883183569,1.148,50.0,C,0.24,,,3,6,0,0.18421052631578946,0.34146341463414637,0.6755555555555556,0.19555555555555557,0.1288888888888889,0.15355805243445692,0.22404371584699453,0.18072289156626506,0.18198874296435272
669364,Xavier Edwards,L,MIA,2,Sean Sullivan,L,807743,824339,MIA @ COL,5:40 PM,29/06,Final,0.7080290929316607,,,,True,0101111111,live,0,0,0.0,0.2882333596289065,0.2598202350950501,0.20402659075903437,0.326120239125367,20,1,0.020668693009118555,1.148,50.0,C,0.24,,,3,6,0,0.3142857142857143,0.2936170212765957,0.6755555555555556,0.19555555555555557,0.1288888888888889,0.30553505535055353,0.33612273361227335,0.27906976744186046,0.30804248861911987
681715,Heriberto Hernandez,R,MIA,4,Sean Sullivan,L,807743,824339,MIA @ COL,5:40 PM,29/06,Final,0.7042354158942032,,,,True,1011010000,live,0,0,0.0,0.19089283180989922,0.31954906205816164,0.5603508704698472,0.26620090424199216,20,1,-0.08081395348837211,1.148,50.0,C,0.24,,,3,6,0,0.175,0.2558139534883721,0.6755555555555556,0.19555555555555557,0.1288888888888889,0.21014492753623187,0.1756440281030445,0.1830065359477124,0.19329214474845544
650333,Luis Arráez,L,SF,2,Eduardo Rodríguez,L,593958,825065,SF @ AZ,6:40 PM,29/06,Final,0.7015642766828446,,,,True,0110111111,live,0,0,0.0,0.3459149973130949,0.26351298835428194,0.19669471117042303,0.35257439662366785,20,1,-0.026599007416494735,1.0,45.4,D,0.25862068965517243,1.7257556986270919,0.37822304766151166,16,6,0,0.3037974683544304,0.3303964757709251,0.6025215660252157,0.12408759124087591,0.2733908427339084,0.36204663212435234,0.3500931098696462,0.30268199233716475,0.3517417162276975
696100,Hunter Goodman,R,COL,3,Sandy Alcántara,R,645261,824339,MIA @ COL,5:40 PM,29/06,Final,0.6993453744420668,,,,True,1000110110,live,1,0,0.0,0.20912345474930616,0.3307496099055667,0.425479291895444,0.27765959575810134,20,1,-0.041977611940298476,1.148,63.6,C,0.26981246218995764,3.194425710422336,0.35156466143996074,17,6,0,0.2708333333333333,0.22885572139303484,0.5710828796128251,0.20326678765880218,0.22565033272837265,0.19298245614035087,0.2087912087912088,0.22021660649819494,0.2025709219858156
694192,Jackson Chourio,R,MIL,1,Nick Lodolo,L,666157,823771,CIN @ MIL,4:40 PM,29/06,Final,0.6968546249764839,,,,False,0111011111,live,2,0,0.0,0.27227348899853243,0.3184983390236899,0.4665168858108384,0.33170264931022014,20,1,0.01111474338018964,0.97,36.9,D,0.26838235294117646,2.397078293870617,0.42750371788866237,9,6,0,0.30434782608695654,0.2932330827067669,0.5073529411764706,0.25735294117647056,0.23529411764705882,0.27710843373493976,0.31313131313131315,0.32727272727272727,0.29224293445580274
