batter_id,name,batter_hand,team,slot,pitcher,pitcher_hand,opp_pitcher_id,game_pk,matchup,start_time,game_date,game_state,p_hit,hit_odds,no_hit_odds,yes_cents,has_hit,last5,lineup_source,bvp_ab,bvp_h,bvp_avg,bvp_career,bvp_since,b_hit_rate,b_xba,b_hardhit,b_babip,b_k_rate,b_n_games,b_days_rest,split_diff,park_factor,p_rating,p_grade,p_csw,p_k_bb,p_hardhit_allowed,p_k_rate,p_n_games,p_days_rest,is_opener,b_hit_rate_vs_L,b_hit_rate_vs_R,p_use_fb,p_use_bb,p_use_os,b_hr_vs_fb,b_hr_vs_bb,b_hr_vs_os,b_hr_overall,b_hit_rate_vs_sp,b_pa_vs_sp,b_hit_rate_vs_rp,b_pa_vs_rp,b_is_rookie,p_is_rookie,base_p_hit,matchup_delta,b_avg_ab,b_avg_pa,b_games_played,p_multihit,base_p_multihit,p_multihit_matchup_delta,p_hrRbi,base_p_hrRbi,p_hrRbi_matchup_delta,b_quality_first3,b_n_games_first3,p_era,p_whip_official,p_ip,p_wins,p_losses,p_so,p_bb_official,p_saves,p_blown_saves,p_save_opps,p_games_started,p_role,p_games_pitched,p_bf_official,p_hits_allowed,p_bf_per_g,p_k9,p_bb9,p_h9,p_hr9,p_avg_bf,pen_delta,pen_available_n,pen_rested_frac,def_oaa_tonight,def_oaa_n,sched_games_7d,sched_day_after_night,sched_getaway,sched_tz_shift,b_pa,b_bb_rate,b_hit_rate_long,b_k_rate_long,b_bb_rate_long,b_hardhit_long,b_xba_long,p_hit_rate_vs_hand,slot_pa_exp,def_babip_allowed
650333,Luis Arráez,L,PHI,4,George Kirby,R,669923.0,823098,PHI @ SEA,6:40 PM,25/08,Scheduled,0.7521545667156774,,,,False,1111111101,estimated,6,1,0.16666666666666666,1,2023,0.31492107270900105,0.31700348821138485,0.1421386519899978,0.33081969441232534,0.02798539599629829,20,1,-0.03799999999999998,0.906,44.4,D,0.26469248291571756,3.3600197201000532,0.43417298448544217,0.18560381057364803,20,5,0,0.35,0.312,0.5287671232876713,0.3963470319634703,0.07488584474885844,0.3510726072607261,0.324295010845987,0.3130081300813008,0.3389479139673491,0.3642611683848797,314,0.25980392156862747,228,False,False,0.7216812118632042,0.030473354852473156,4.024390243902439,4.40650406504065,123,,,,,,,0.17625169577905864,20,4.18,1.36,140.0,8.0,10.0,117.0,33.0,0.0,0.0,0.0,24.0,SP,24.0,587.0,157.0,24.5,7.52,2.12,10.09,1.09,23.837857570836032,-0.026504566715677358,4,0.5714285714285714,-15.0,7,6,0,0,0.0,4.067806476229778,0.01638625541629323,0.32510288065843623,0.0450281425891182,0.04127579737335835,0.19963924963924964,0.30563852813852815,0.2791519434628975,4.159,0.36490178504984117
676475,Alec Burleson,L,STL,3,Chris Bassitt,R,605135.0,823016,BAL @ STL,4:45 PM,25/08,Scheduled,0.7240422646629942,,,,False,1111111111,estimated,5,3,0.6,1,2023,0.3478420730456567,0.3644257064759692,0.5345908403540679,0.47936706442539756,0.2271833447047314,20,2,0.027590267701301685,1.031,38.2,D,0.2545141874462597,1.8397669027412662,0.3605591241529393,0.14797554603271407,14,6,0,0.26717557251908397,0.29476584022038566,0.6428571428571429,0.30206540447504304,0.055077452667814115,0.3001596593932943,0.24956521739130436,0.3405698778833107,0.2922301776717051,0.292358803986711,330,0.27979274611398963,218,False,False,0.6808791218748871,0.04316314278810707,3.8,4.2153846153846155,130,,,,,,,0.13763530094949397,20,5.08,1.62,67.1,4.0,4.0,46.0,26.0,0.0,0.0,0.0,12.0,SP,14.0,309.0,83.0,22.1,6.15,3.48,11.09,0.94,22.244744514546777,-0.028754764662994092,8,1.0,-1.0,6,6,0,0,-1.0,4.014874742270149,0.05261729568914909,0.29540481400437635,0.1746031746031746,0.07142857142857142,0.49232158988256547,0.3673658536585366,0.3333333333333333,4.25,0.33778577174360996
802139,Jj Wetherholt,L,STL,1,Chris Bassitt,R,605135.0,823016,BAL @ STL,4:45 PM,25/08,Scheduled,0.7215012691469052,,,,False,0110011011,estimated,0,0,0.0,0,0,0.23770413812240784,0.37407943987446834,0.5562514978217045,0.3057171249518739,0.20472883493421887,20,2,0.10234664470975707,1.031,38.2,D,0.2545141874462597,1.8397669027412662,0.3605591241529393,0.14797554603271407,14,6,0,0.17142857142857143,0.2737752161383285,0.6428571428571429,0.30206540447504304,0.055077452667814115,0.2331390507910075,0.24066029539530842,0.2551505546751189,0.24033214709371292,0.2558922558922559,345,0.22631578947368422,222,True,False,0.6697234424913971,0.05177782665550801,3.9274193548387095,4.57258064516129,124,,,,,,,0.022799038439984588,20,5.08,1.62,67.1,4.0,4.0,46.0,26.0,0.0,0.0,0.0,12.0,SP,14.0,309.0,83.0,22.1,6.15,3.48,11.09,0.94,22.244744514546777,-0.040713769146905054,8,1.0,-1.0,6,6,0,0,-1.0,4.601670031097446,0.08976134718794729,0.2425531914893617,0.16423357664233576,0.10583941605839416,0.45,0.31776973684210524,0.3333333333333333,4.442,0.33778577174360996
650490,Yandy Díaz,R,TB,1,Jackson Jobe,R,695549.0,824233,TB @ DET,3:40 PM,25/08,Pre-Game,0.7170191051123989,,,,False,1111110111,estimated,0,0,0.0,0,0,0.32815022928481763,0.3466790639397421,0.4869128302653476,0.3925436127062196,0.10838870694862862,20,1,-0.010713855784278303,1.004,50.0,C,0.22943722943722944,,,,3,6,0,0.30985915492957744,0.29914529914529914,0.5541125541125541,0.329004329004329,0.11688311688311688,0.27156789197299325,0.2903846153846154,0.23891625615763548,0.27345454545454545,0.26282051282051283,348,0.3701657458563536,206,False,False,0.7041721816377349,0.012846923474663985,3.944,4.432,125,,,,,,,0.18307410201921762,20,4.5,1.36,14.0,1.0,1.0,11.0,5.0,0.0,0.0,0.0,3.0,SP,3.0,61.0,14.0,20.3,7.07,3.21,9.0,1.29,,-0.003894105112398738,8,0.8888888888888888,-10.0,7,7,0,0,0.0,4.653936295600979,0.05913279259578753,0.2957446808510638,0.14528301886792452,0.07735849056603773,0.46539440203562343,0.3384408396946565,0.2631578947368421,4.442,0.3003683129124101
802415,Chandler Simpson,L,TB,4,Jackson Jobe,R,695549.0,824233,TB @ DET,3:40 PM,25/08,Pre-Game,0.7134534222084389,,,,False,1111111111,estimated,0,0,0.0,0,0,0.4006986805150893,0.26207859662111016,0.10451890864925603,0.41993855926822593,0.048080442753108445,20,1,0.05471289274106178,1.004,50.0,C,0.22943722943722944,,,,3,6,0,0.2692307692307692,0.323943661971831,0.5541125541125541,0.329004329004329,0.11688311688311688,0.3189077794951056,0.2803347280334728,0.2808219178082192,0.305198973042362,0.32857142857142857,300,0.2849162011173184,196,False,False,0.6990426858585437,0.014410736349895203,3.857142857142857,4.168067226890757,119,,,,,,,0.44805190984750115,20,4.5,1.36,14.0,1.0,1.0,11.0,5.0,0.0,0.0,0.0,3.0,SP,3.0,61.0,14.0,20.3,7.07,3.21,9.0,1.29,,-0.0017784222084389345,8,0.8888888888888888,-10.0,7,7,0,0,0.0,4.317330390306256,0.030101753024158497,0.3080260303687636,0.08450704225352113,0.04225352112676056,0.13385043754972156,0.27829435163086713,0.2647058823529412,4.159,0.3003683129124101
670541,Yordan Álvarez,L,HOU,2,Will Warren,R,701542.0,823505,HOU @ NYY,4:05 PM,25/08,Pre-Game,0.7116146267818212,-223.0,233.0,69.0,False,1101011101,estimated,5,4,0.8,1,2025,0.32119354242456977,0.3295431335114681,0.4676094148624331,0.35426593955122193,0.14754433397786668,20,2,0.07386649240977183,1.007,31.2,F,0.2848975702715579,2.232985165886097,0.4895624016548738,0.21363220326764623,20,6,0,0.2672413793103448,0.34110787172011664,0.6319809069212411,0.24391408114558472,0.12410501193317422,0.320392681838465,0.3029721955896453,0.3743016759776536,0.32624288894385356,0.3521594684385382,357,0.26582278481012656,204,False,False,0.6813970203322718,0.030217606449549406,3.5859375,4.3828125,128,,,,,,,0.14109773483557012,20,4.43,1.4,122.0,8.0,6.0,122.0,43.0,0.0,0.0,0.0,24.0,SP,25.0,535.0,128.0,21.4,9.0,3.17,9.44,1.4,20.740702023179768,-0.007047960115154517,9,1.0,12.0,7,6,0,0,1.0,4.203553110154301,0.09729194977347676,0.31494252873563217,0.17300380228136883,0.11406844106463879,0.536531007751938,0.4126686046511628,0.27205882352941174,4.35,0.29049470352001544
695506,Jac Caglianone,L,KC,3,Max Scherzer,R,453286.0,822773,KC @ TOR,4:07 PM,25/08,Pre-Game,0.708979753387709,,,,False,1111011101,estimated,0,0,0.0,0,0,0.4101661181836496,0.38421106350412637,0.5113951179327726,0.4798706385093849,0.190932392804661,20,3,-0.022663196703535005,0.995,51.0,C,0.22422062350119903,1.5130881988599554,0.31871999785160415,0.161693553189709,11,6,0,0.29310344827586204,0.27044025157232704,0.5126050420168067,0.33133253301320525,0.15606242496998798,0.26366120218579236,0.23931623931623933,0.26159554730983303,0.2544861337683524,0.26877470355731226,277,0.287292817679558,192,False,False,0.6683140864683071,0.04066566691940188,3.5867768595041323,3.87603305785124,121,,,,,,,0.2054791027356592,20,7.4,1.51,45.0,1.0,6.0,32.0,20.0,0.0,0.0,0.0,11.0,SP,11.0,202.0,48.0,18.4,6.4,4.0,9.6,2.4,18.75342280610798,-0.034279753387709055,8,1.0,13.0,7,6,0,0,1.0,3.89266363206739,0.0,0.27713625866050806,0.25854700854700857,0.057692307692307696,0.5512820512820513,0.3892051282051282,0.29464285714285715,4.25,0.2941783591610024
691023,Jordan Walker,R,STL,4,Chris Bassitt,R,605135.0,823016,BAL @ STL,4:45 PM,25/08,Scheduled,0.708979753387709,,,,False,0111111101,estimated,0,0,0.0,0,0,0.3048357276155462,0.32017790961697956,0.4985800932230722,0.4359245116404141,0.19444275898457047,20,2,-0.00235610250019469,1.031,38.2,D,0.2545141874462597,1.8397669027412662,0.3605591241529393,0.14797554603271407,14,6,0,0.2905405405405405,0.2881844380403458,0.6428571428571429,0.30206540447504304,0.055077452667814115,0.26852367688022283,0.25547445255474455,0.27191011235955054,0.2649407876618012,0.2785234899328859,324,0.30456852791878175,220,False,False,0.6521664717066799,0.05681328168102917,3.8976377952755907,4.283464566929134,127,,,,,,,0.03222457006220111,20,5.08,1.62,67.1,4.0,4.0,46.0,26.0,0.0,0.0,0.0,12.0,SP,14.0,309.0,83.0,22.1,6.15,3.48,11.09,0.94,22.244744514546777,-0.04370475338770896,8,1.0,-1.0,6,6,0,0,-1.0,4.394042514547854,0.06248355245586529,0.2923728813559322,0.2413127413127413,0.07335907335907337,0.46661863592699326,0.37567723342939485,0.2621359223300971,4.159,0.33778577174360996
677951,Bobby Witt,R,KC,2,Max Scherzer,R,453286.0,822773,KC @ TOR,4:07 PM,25/08,Pre-Game,0.7086498579395104,-203.0,223.0,67.0,False,1011101111,estimated,6,1,0.16666666666666666,1,2024,0.3020184511715006,0.3939927474287165,0.519514591502351,0.3922785978103357,0.20043904898213843,20,2,0.03847254004576661,0.995,51.0,C,0.22422062350119903,1.5130881988599554,0.31871999785160415,0.161693553189709,11,6,0,0.2608695652173913,0.2993421052631579,0.5126050420168067,0.33133253301320525,0.15606242496998798,0.2641509433962264,0.2672929120409906,0.2814207650273224,0.2675705589374654,0.2978723404255319,306,0.26875,193,False,False,0.6914894190840245,0.017160438855485904,3.911504424778761,4.415929203539823,113,,,,,,,0.10741711230765887,20,7.4,1.51,45.0,1.0,6.0,32.0,20.0,0.0,0.0,0.0,11.0,SP,11.0,202.0,48.0,18.4,6.4,4.0,9.6,2.4,18.75342280610798,-0.010874857939510485,8,1.0,13.0,7,6,0,0,1.0,4.471577113920399,0.10676244544412072,0.2890792291220557,0.1739961759082218,0.08604206500956023,0.518395390070922,0.37409685283687943,0.22388059701492538,4.35,0.2941783591610024
665489,Vladimir Guerrero,R,TOR,3,Seth Lugo,R,607625.0,822773,KC @ TOR,4:07 PM,25/08,Pre-Game,0.7073570028323073,-233.0,245.0,70.0,False,0111111110,estimated,0,0,0.0,0,0,0.26565592323098275,0.31717802310762816,0.40187964394531994,0.2836702853093125,0.11832901114306218,20,2,0.01432536928720135,0.995,34.9,F,0.26378794356562635,2.3624311043039183,0.4484878185877034,0.16624889689710257,20,6,0,0.25190839694656486,0.2662337662337662,0.5158254918733961,0.3939264328485885,0.0902480752780154,0.26435643564356437,0.2545649838882922,0.24050632911392406,0.25970149253731345,0.2490974729241877,307,0.2839506172839506,189,False,False,0.679026595252855,0.028330407579452266,3.752136752136752,4.239316239316239,117,,,,,,,0.25940149315616534,20,4.71,1.38,145.1,5.0,7.0,111.0,46.0,0.0,0.0,0.0,26.0,SP,26.0,619.0,155.0,23.8,6.87,2.85,9.6,0.99,23.566561946405876,-0.024379225054529385,9,1.0,15.0,7,6,0,0,0.0,4.203939363669447,0.03239901090131478,0.26948775055679286,0.13188976377952755,0.08464566929133858,0.4406631762652705,0.32527486910994763,0.26108374384236455,4.25,0.27360640784769436
