batter_id,name,batter_hand,team,slot,pitcher,pitcher_hand,opp_pitcher_id,game_pk,matchup,start_time,game_date,game_state,p_hit,hit_odds,no_hit_odds,yes_cents,has_hit,last5,lineup_source,bvp_ab,bvp_h,bvp_avg,b_hit_rate,b_xba,b_hardhit,b_babip,b_n_games,b_days_rest,split_diff,park_factor,p_rating,p_grade,p_csw,p_k_bb,p_hardhit_allowed,p_n_games,p_days_rest,is_opener,b_hit_rate_vs_L,b_hit_rate_vs_R,p_use_fb,p_use_bb,p_use_os,b_hr_vs_fb,b_hr_vs_bb,b_hr_vs_os,b_hr_overall,b_hit_rate_vs_sp,b_pa_vs_sp,b_hit_rate_vs_rp,b_pa_vs_rp,b_is_rookie,p_is_rookie,base_p_hit,matchup_delta,b_avg_ab,b_avg_pa,b_games_played,p_multihit,base_p_multihit,p_multihit_matchup_delta,p_hrRbi,base_p_hrRbi,p_hrRbi_matchup_delta,b_quality_first3,b_n_games_first3,lean_tag
664983,Jake Mccarthy,L,COL,1,Andrew Alvarez,L,674841,824328,WSH @ COL,5:40 PM,20/07,Pre-Game,0.7625592365893761,-223.0,376.0,69.0,False,1010111111,live,0,0,0.0,0.28717688191026247,0.26295621668308244,0.2156422796637452,0.33153722594753904,20,1,0.009915643036850663,1.148,39.4,D,0.29005847953216374,2.4242755693996263,0.4436535606226789,13,8,0,0.3103448275862069,0.30042918454935624,0.4304093567251462,0.5403508771929825,0.029239766081871343,0.2873873873873874,0.2536443148688047,0.25170068027210885,0.2721639656816015,0.30319148936170215,204,0.30097087378640774,116,False,False,0.6776110902247048,0.0849481463646713,3.548780487804878,3.902439024390244,82,0.3451362500186812,0.29100077315115697,0.054135476867524235,0.5969192977678315,0.5136331151391688,0.08328618262866272,0.2377282037188627,20,LEAN
678554,Curtis Mead,R,WSH,2,Kyle Freeland,L,607536,824328,WSH @ COL,5:40 PM,20/07,Pre-Game,0.7625592365893761,-270.0,335.0,73.0,False,1110111101,live,0,0,0.0,0.33635206593234834,0.3957734258978944,0.41145366806727546,0.4356250088535689,20,1,0.002658396101019034,1.148,49.1,D,0.2811853893866299,5.325772693757255,0.42920315867738223,17,9,0,0.25675675675675674,0.2540983606557377,0.5210199862164024,0.32873880082701584,0.15024121295658166,0.26009316770186336,0.24726134585289514,0.25384615384615383,0.25560128029263834,0.2753623188405797,153,0.23484848484848486,158,False,False,0.6409177262636799,0.12164151032569614,3.253012048192771,3.746987951807229,83,0.3301905715557251,0.25862132689199807,0.07156924466372705,0.608326666962086,0.5018387172470201,0.10648794971506592,0.10210228491649972,20,STRONG
695578,James Wood,L,WSH,1,Kyle Freeland,L,607536,824328,WSH @ COL,5:40 PM,20/07,Pre-Game,0.7615446726882142,-300.0,317.0,75.0,False,0110111100,live,0,0,0.0,0.2890913907457714,0.4545458431776922,0.6945249161983432,0.44030390680941206,20,1,-0.03799999999999998,1.148,49.1,D,0.2811853893866299,5.325772693757255,0.42920315867738223,17,9,0,0.25,0.288,0.5210199862164024,0.32873880082701584,0.15024121295658166,0.27245328511151296,0.2568659127625202,0.2656826568265683,0.2662807525325615,0.28125,278,0.2662337662337662,188,False,False,0.6291150002844054,0.13242967240380887,3.8181818181818183,4.707070707070707,99,0.31643176145408486,0.2483034162179709,0.06812834523611397,0.6579663221255329,0.5147800283735015,0.1431862937520314,-0.036676774483988435,20,STRONG
676391,Ernie Clement,R,TOR,1,Nick Martínez,R,607259,822788,TB @ TOR,4:07 PM,20/07,Pre-Game,0.7447440457268285,-212.0,285.0,68.0,False,1111111101,live,2,1,0.5,0.2862879361260091,0.29970214880737434,0.1321958988093515,0.3358730765368351,20,1,0.011813537675606667,0.995,61.6,C,0.26230613621038434,3.200606905623177,0.3481129200149739,18,10,0,0.28703703703703703,0.2988505747126437,0.6229729729729729,0.09662162162162162,0.28040540540540543,0.2781717888100867,0.29510309278350516,0.2826855123674912,0.28504072010287185,0.2579185520361991,230,0.35135135135135137,157,False,False,0.6837047499175988,0.06103929580922973,3.84375,4.03125,96,0.3492486563280956,0.30334109027852685,0.04590756604956875,0.582418978455325,0.511072285043446,0.07134669341187894,0.059720842905763336,20,LEAN
691720,Kyle Karros,R,COL,2,Andrew Alvarez,L,674841,824328,WSH @ COL,5:40 PM,20/07,Pre-Game,0.7404589915768209,-186.0,257.0,65.0,False,1101011001,live,0,0,0.0,0.2678025536394004,0.3013485568579035,0.4544532572661612,0.33617663324816627,20,1,0.04806451612903223,1.148,39.4,D,0.29005847953216374,2.4242755693996263,0.4436535606226789,13,8,0,0.29,0.24193548387096775,0.4304093567251462,0.5403508771929825,0.029239766081871343,0.25,0.23275862068965517,0.24187725631768953,0.24333177351427235,0.24691358024691357,185,0.27419354838709675,147,False,False,0.6688456075842587,0.07161338399256223,3.075268817204301,3.5698924731182795,93,0.3042437376250202,0.2717363205490959,0.032507417075924305,0.5850466962664859,0.5056518489892982,0.07939484727718771,-0.12937640825802635,20,LEAN
682928,Cj Abrams,L,WSH,4,Kyle Freeland,L,607536,824328,WSH @ COL,5:40 PM,20/07,Pre-Game,0.7366417887901927,-270.0,285.0,73.0,False,1111111101,live,0,0,0.0,0.2634777351234372,0.3855998807619019,0.46759268542628935,0.37275352224434816,20,1,-0.00284126519867961,1.148,49.1,D,0.2811853893866299,5.325772693757255,0.42920315867738223,17,9,0,0.27472527472527475,0.27756653992395436,0.5210199862164024,0.32873880082701584,0.15024121295658166,0.2532154340836013,0.25396825396825395,0.23317307692307693,0.25,0.285,231,0.2662337662337662,175,False,False,0.6284206201699213,0.10822116862027142,3.7263157894736842,4.273684210526316,95,0.3193026745847447,0.22094611590345625,0.09835655868128845,0.5640308847072387,0.4606922646928105,0.10333862001442823,0.09000223564964689,20,STRONG
665953,Andrés Chaparro,R,WSH,3,Kyle Freeland,L,607536,824328,WSH @ COL,5:40 PM,20/07,Pre-Game,0.7210563807314911,,,,False,1010001010,live,0,0,0.0,0.21415980832246304,0.3207236701088833,0.439072036302873,0.3079234965896266,20,1,0.0,1.148,49.1,D,0.2811853893866299,5.325772693757255,0.42920315867738223,17,9,0,0.1864406779661017,,0.5210199862164024,0.32873880082701584,0.15024121295658166,0.14042553191489363,0.11363636363636363,0.11333333333333333,0.12572533849129594,0.125,47,0.3157894736842105,25,False,False,0.6037598230299598,0.11729655770153136,1.9666666666666666,2.4,30,0.28291117600132587,0.20588733076056656,0.07702384524075931,0.5870552092152184,0.4832485898621826,0.10380661935303576,-0.16408182040279448,20,STRONG
621439,Byron Buxton,R,MIN,2,Tanner Bibee,R,676440,824410,MIN @ CLE,3:40 PM,20/07,Warmup,0.7170765955299702,-212.0,223.0,68.0,False,1111010011,live,2,0,0.0,0.3431069712910709,0.39645648482927015,0.5111452102384642,0.4727982977207357,20,15,-0.04515482407553939,0.987,55.4,C,0.2791392707710699,2.5000002764066225,0.3935109127031441,19,9,0,0.30337078651685395,0.25821596244131456,0.7017334130304842,0.1470412432755529,0.15122534369396293,0.24960629921259841,0.26136363636363635,0.2384428223844282,0.25104777870913664,0.29533678756476683,207,0.22935779816513763,124,False,False,0.6804986269832094,0.036577968546760764,4.081081081081081,4.472972972972973,74,0.2958814857601663,0.2877815133710943,0.008099972389072008,0.5597285955883926,0.5336799724712621,0.02604862311713052,0.0908194067568522,20,NEUTRAL
665487,Fernando Tatís,R,SD,1,Bryce Elder,R,693821,824898,SD @ ATL,4:15 PM,20/07,Pre-Game,0.7150067693344934,-270.0,285.0,73.0,False,0111100111,live,0,0,0.0,0.2891699983200011,0.3613616197959096,0.5574763438393237,0.351837534504439,20,1,-0.07812048391758536,1.018,51.6,C,0.27023498694516973,2.521543395044609,0.40043256066098815,18,11,0,0.345679012345679,0.26755852842809363,0.6387981711299804,0.2730241672109732,0.08817766165904638,0.2736904061212478,0.25858369098712447,0.19477434679334918,0.25833878351863965,0.25,263,0.33783783783783783,163,False,False,0.6774691473365623,0.03753762199793109,3.917525773195876,4.391752577319588,97,0.3023363702787016,0.28545155933623056,0.016884810942471018,0.5713852311007354,0.5468020287610513,0.02458320233968403,0.06808495453954128,20,NEUTRAL
650333,Luis Arráez,L,SF,1,Michael Wacha,R,608379,824087,SF @ KC,4:40 PM,20/07,Pre-Game,0.7147020355125232,-335.0,355.0,77.0,False,1101110111,live,0,0,0.0,0.33200105009729575,0.31060053121990544,0.13673960989563855,0.37880021881666487,20,1,-0.014375876577840119,1.028,63.8,C,0.27191011235955054,3.017829360548455,0.3594537445712659,19,11,0,0.33695652173913043,0.3225806451612903,0.5736782902137233,0.19178852643419572,0.23453318335208098,0.3726440495422725,0.34306569343065696,0.3286908077994429,0.3590006844626968,0.38288288288288286,242,0.24161073825503357,170,False,False,0.6937538054645079,0.02094823004801527,3.989247311827957,4.43010752688172,93,0.3042437376250202,0.3023363702787016,0.0019073673463186336,0.5532451582811039,0.529866840728984,0.02337831755211983,0.26883213834933906,20,LEAN
