batter_id,name,batter_hand,team,slot,pitcher,pitcher_hand,matchup,start_time,game_date,game_state,p_hit,hit_odds,no_hit_odds,yes_cents,has_hit,last5,lineup_source,bvp_ab,bvp_h,bvp_avg,b_hit_rate,b_xba,b_hardhit,b_n_games,b_days_rest,platoon_adv,park_factor,p_rating,p_grade,p_csw,p_k_bb,p_hardhit_allowed,p_n_games,p_days_rest,is_opener
672960,Kazuma Okamoto,R,TOR,4,Peter Lambert,R,HOU @ TOR,1:07 PM,23/06,Final,0.5740451404986079,-176,132,,True,01011,live,0,0,0.0,0.2699800325950919,0.3450073559140365,0.5284340200976004,20,1,0,0.985,61.6,C,0.2649325626204239,2.3149082447247964,0.38420253076910044,11,6,0
645302,Víctor Robles,R,SEA,8,Mitch Keller,R,SEA @ PIT,3:40 PM,23/06,Final,0.5739413305305622,-143,107,,False,10100,live,0,0,0.0,0.20916941089643928,0.24450674151536742,0.18148699515181477,20,2,0,1.01,27.6,F,0.25767790262172285,1.979741738650078,0.4292594376529242,15,7,0
664034,Ty France,R,SD,5,Jr Ritchie,R,ATL @ SD,6:40 PM,23/06,Final,0.5739413305305622,-173,130,,False,01010,live,0,0,0.0,0.16320076463351724,0.25669552143286595,0.33537493473505586,20,1,0,0.955,40.3,D,0.24675324675324675,1.5856075344289702,0.4013089351247809,7,6,0
676356,Jonny Deluca,R,TB,6,Luinder Avila,R,KC @ TB,3:40 PM,23/06,Final,0.5714275791170015,-222,164,,True,01110,live,0,0,0.0,0.22598560736248252,0.33766220601305486,0.3205024572335752,20,1,0,0.955,63.0,C,0.2809457579972184,1.475510164005833,0.3013504607303743,14,6,0
680757,Steven Kwan,L,CLE,7,Sean Burke,R,CLE @ CWS,4:40 PM,23/06,Final,0.5712141879196095,-164,123,62.0,True,10000,live,0,0,0.0,0.20239920193659566,0.3397314891574036,0.14866717489781583,20,1,1,0.98,65.2,B,0.2924457741211668,2.5643869608746654,0.3665777651465447,15,5,0
663586,Austin Riley,R,ATL,7,Wandy Peralta,L,ATL @ SD,6:40 PM,23/06,Final,0.5704679411748198,,,,False,11011,live,0,0,0.0,0.24914019731468234,0.28797696067125295,0.444520459328151,20,1,1,0.955,57.5,C,0.22998296422487224,0.99013554685306,0.3196400398347274,20,2,0
687551,Drew Gilbert,L,SF,8,Aaron Civale,R,ATH @ SF,6:45 PM,23/06,Final,0.5703991624132967,-130,-102,,False,00111,live,0,0,0.0,0.22564686198213743,0.31574198732959036,0.365602276475081,20,2,1,1.005,33.8,F,0.287,2.0683597891066596,0.47915730710266885,12,6,0
669004,Mj Melendez,L,NYM,8,Edward Cabrera,R,CHC @ NYM,4:10 PM,23/06,Final,0.5694109069699621,-102,-130,,False,00000,live,3,2,0.6666666666666666,0.11683891654039927,0.32762731303614717,0.4919308789566414,20,2,1,0.935,33.7,F,0.26358695652173914,2.324023988328048,0.43975034587798445,13,7,0
681297,Colton Cowser,L,BAL,7,Ryan Johnson,R,BAL @ LAA,6:38 PM,23/06,Final,0.566983134672557,-149,112,,False,11110,live,0,0,0.0,0.2392124354943586,0.33320558739407685,0.38551378470841763,20,1,1,0.975,34.3,F,0.22393822393822393,0.9430425649870955,0.3327298001179015,5,5,0
671732,Lawrence Butler,L,ATH,6,Robbie Ray,L,ATH @ SF,6:45 PM,23/06,Final,0.566983134672557,,,,False,10110,live,0,0,0.0,0.24962022223150485,0.37428395966806216,0.41714991353101566,20,2,0,1.005,46.4,D,0.25140449438202245,1.8237719627130338,0.3729059419044905,15,7,0
516782,Starling Marte,R,KC,6,Shane Mcclanahan,L,KC @ TB,3:40 PM,23/06,Final,0.566983134672557,-168,126,,False,10111,live,0,0,0.0,0.2007779300275025,0.32624962213586534,0.37339854853416493,20,5,1,0.955,54.3,C,0.2988298829882988,2.5222802030643146,0.43967641374084415,14,6,0
656555,Rhys Hoskins,R,CLE,4,Sean Burke,R,CLE @ CWS,4:40 PM,23/06,Final,0.566983134672557,-140,105,,False,01001,live,0,0,0.0,0.12587098119821744,0.25064504927555603,0.265140458040793,20,1,0,0.98,65.2,B,0.2924457741211668,2.5643869608746654,0.3665777651465447,15,5,0
685133,Wade Meckler,L,LAA,7,Shane Baz,R,BAL @ LAA,6:38 PM,23/06,Final,0.566983134672557,-140,105,,False,11101,live,0,0,0.0,0.2623142644201834,0.31776400548112327,0.30574075755054236,20,1,1,0.975,43.8,D,0.2630853994490358,2.333085741246958,0.4104275141020446,15,5,0
683146,Brett Baty,L,NYM,7,Edward Cabrera,R,CHC @ NYM,4:10 PM,23/06,Final,0.566983134672557,-119,-111,,True,00000,live,1,0,0.0,0.15489057346932947,0.19783982078242449,0.2904243690231163,20,2,1,0.935,33.7,F,0.26358695652173914,2.324023988328048,0.43975034587798445,13,7,0
672284,Jarred Kelenic,L,TEX,7,Sandy Alcántara,R,TEX @ MIA,3:40 PM,23/06,Final,0.566983134672557,,,,False,11001,live,0,0,0.0,0.20199619342913824,0.4204769560135192,0.5305912136689853,20,3,1,1.035,65.9,B,0.27266839378238344,3.645246496837894,0.3572152521730552,16,6,0
696135,Kahlil Watson,L,CLE,6,Sean Burke,R,CLE @ CWS,4:40 PM,23/06,Final,0.566983134672557,-112,-119,,True,00001,live,0,0,0.0,0.23002735662446042,,,5,1,1,0.98,65.2,B,0.2924457741211668,2.5643869608746654,0.3665777651465447,15,5,0
593428,Xander Bogaerts,R,SD,6,Jr Ritchie,R,ATL @ SD,6:40 PM,23/06,Final,0.5661146631888115,-167,126,,False,10110,live,0,0,0.0,0.17602220427717435,0.2385331884078359,0.3895657663065781,20,1,0,0.955,40.3,D,0.24675324675324675,1.5856075344289702,0.4013089351247809,7,6,0
