batter_id,name,batter_hand,team,slot,pitcher,pitcher_hand,opp_pitcher_id,game_pk,matchup,start_time,game_date,game_state,p_hit,hit_odds,no_hit_odds,yes_cents,has_hit,last5,lineup_source,bvp_ab,bvp_h,bvp_avg,b_hit_rate,b_xba,b_hardhit,b_babip,b_n_games,b_days_rest,split_diff,park_factor,p_rating,p_grade,p_csw,p_k_bb,p_hardhit_allowed,p_n_games,p_days_rest,is_opener,b_hit_rate_vs_L,b_hit_rate_vs_R,p_use_fb,p_use_bb,p_use_os,b_hr_vs_fb,b_hr_vs_bb,b_hr_vs_os,b_hr_overall,b_hit_rate_vs_sp,b_pa_vs_sp,b_hit_rate_vs_rp,b_pa_vs_rp,b_is_rookie,p_is_rookie,base_p_hit,matchup_delta,b_avg_ab,b_avg_pa,b_games_played,p_multihit,base_p_multihit,p_multihit_matchup_delta,p_hrRbi,base_p_hrRbi,p_hrRbi_matchup_delta,b_quality_first3,b_n_games_first3
545361,Mike Trout,R,AL,1,Cristopher Sánchez,L,650911,823443,AL @ NL,5:00 PM,14/07,Pre-Game,0.6623134063799127,,,,False,1111111011,live,0,0,0.0,0.2686943979535853,0.41959416115724263,0.4548712381336189,0.3825732445832687,20,2,0.02073170731707316,1.0,73.7,B,0.32819383259911894,5.436223427459754,0.4365673927677841,19,3,0,0.25,0.22926829268292684,0.42015418502202645,0.183920704845815,0.3959251101321586,0.2579415501905972,0.232,0.26732673267326734,0.25137903861308114,0.2541436464088398,214,0.2,137,False,False,0.6157896278536722,0.046523778526240456,3.6493506493506493,4.558441558441558,77,0.25333043907810776,0.2186279716156084,0.03470246746249936,0.4690456299478855,0.42650521508257794,0.042540414865307574,0.15276189499160833,20
670541,Yordan Álvarez,L,AL,2,Cristopher Sánchez,L,650911,823443,AL @ NL,5:00 PM,14/07,Pre-Game,0.6447488206221146,,,,False,1110100111,live,0,0,0.0,0.3327688596002339,0.361361735525829,0.48468279452000057,0.3698815416281239,20,2,-0.07743581303489133,1.0,73.7,B,0.32819383259911894,5.436223427459754,0.4365673927677841,19,3,0,0.2653061224489796,0.34274193548387094,0.42015418502202645,0.183920704845815,0.3959251101321586,0.3327654741624077,0.28888888888888886,0.3927272727272727,0.3323791348600509,0.35398230088495575,269,0.25833333333333336,147,False,False,0.6245201724861044,0.02022864813601022,3.642105263157895,4.378947368421053,95,0.2565153415753334,0.2312454595724558,0.02526988200287761,0.4967114948342954,0.4404242914680075,0.0562872033662879,0.06295577352345967,20
677951,Bobby Witt,R,AL,5,Cristopher Sánchez,L,650911,823443,AL @ NL,5:00 PM,14/07,Pre-Game,0.6272625126429657,,,,False,0011111101,live,3,0,0.0,0.2854556893157717,0.37897582548274517,0.514155712201814,0.3164586232662728,20,2,-0.025132275132275117,1.0,73.7,B,0.32819383259911894,5.436223427459754,0.4365673927677841,19,3,0,0.26851851851851855,0.29365079365079366,0.42015418502202645,0.183920704845815,0.3959251101321586,0.2551440329218107,0.26719840478564305,0.3187250996015936,0.26443768996960487,0.2918454935622318,250,0.2755905511811024,153,False,False,0.5881648256075488,0.03909768703541694,3.956043956043956,4.428571428571429,91,0.22046308945860935,0.18795147542299595,0.032511614035613395,0.41071464787168765,0.379166928245489,0.03154771962619868,0.22131120922771982,20
691406,Junior Caminero,R,AL,4,Cristopher Sánchez,L,650911,823443,AL @ NL,5:00 PM,14/07,Pre-Game,0.6134570702380368,,,,False,1100001110,live,0,0,0.0,0.2496298738500929,0.400616070094562,0.5391927627495339,0.40294316587199563,20,2,-0.007954356155255693,1.0,73.7,B,0.32819383259911894,5.436223427459754,0.4365673927677841,19,3,0,0.2717391304347826,0.2796934865900383,0.42015418502202645,0.183920704845815,0.3959251101321586,0.31097560975609756,0.2619279454722493,0.3120728929384966,0.29492317969271875,0.30357142857142855,248,0.23255813953488372,161,False,False,0.5606258048480491,0.052831265389987614,3.795698924731183,4.397849462365591,93,0.20512951016542869,0.17752570180300378,0.027603808362424903,0.4058063594644769,0.3853486532376735,0.02045770622680343,0.061412140736950366,20
665742,Juan Soto,L,NL,2,Dylan Cease,R,656302,823443,AL @ NL,5:00 PM,14/07,Pre-Game,0.6119848954971817,,,,False,1111101100,live,0,0,0.0,0.24756416182991994,0.3900229079242403,0.4399525371129005,0.31700259212726467,20,2,-0.070995670995671,1.0,83.4,A,0.32926119837114604,3.3581774760475835,0.3093573004984825,17,6,0,0.33766233766233766,0.26666666666666666,0.45692665890570433,0.42840512223515714,0.11466821885913853,0.28732849071832123,0.24324324324324326,0.2852664576802508,0.2735930735930736,0.2774566473988439,204,0.30303030303030304,125,False,False,0.636129946954764,-0.02414505145758228,3.5324675324675323,4.2727272727272725,77,0.22410910192733038,0.2312454595724558,-0.007136357645125407,0.4222723698176612,0.432480362776682,-0.010207992959020806,-0.06642524651991655,20
518692,Freddie Freeman,L,NL,3,Dylan Cease,R,656302,823443,AL @ NL,5:00 PM,14/07,Pre-Game,0.5948006902558866,,,,False,1110111010,live,3,1,0.3333333333333333,0.3138175528499566,0.39335795307495963,0.45561888473107515,0.38945491738179494,20,2,-0.03390688259109309,1.0,83.4,A,0.32926119837114604,3.3581774760475835,0.3093573004984825,17,6,0,0.3173076923076923,0.2834008097165992,0.45692665890570433,0.42840512223515714,0.11466821885913853,0.2921630094043887,0.2875675675675676,0.3111111111111111,0.29386401326699835,0.2981651376146789,247,0.2857142857142857,156,False,False,0.6280450589977282,-0.03324436874184167,3.774193548387097,4.333333333333333,93,0.22808247354858166,0.22432046796387517,0.0037620055847064904,0.4352884589674793,0.4439557496395706,-0.008667290672091266,0.36878285191671656,20
669127,Shea Langeliers,R,AL,3,Cristopher Sánchez,L,650911,823443,AL @ NL,5:00 PM,14/07,Pre-Game,0.5921560310462498,,,,False,0110101001,live,0,0,0.0,0.17800348227428167,0.37874487762060016,0.6259129617746981,0.3778096113437083,20,2,0.008920606601248882,1.0,73.7,B,0.32819383259911894,5.436223427459754,0.4365673927677841,19,3,0,0.2631578947368421,0.2542372881355932,0.42015418502202645,0.183920704845815,0.3959251101321586,0.2230869001297017,0.21785334750265675,0.25139664804469275,0.2263489838822705,0.23529411764705882,241,0.29457364341085274,146,False,False,0.5498147103949381,0.04234132065131169,4.069767441860465,4.5,86,0.2065893907396925,0.17708677832804168,0.029502612411650836,0.41948551871342876,0.3920189746853544,0.027466544028074358,-0.0645484862494743,20
656941,Kyle Schwarber,L,NL,1,Dylan Cease,R,656302,823443,AL @ NL,5:00 PM,14/07,Pre-Game,0.5623107708391687,,,,False,0100111011,live,2,2,1.0,0.2323228119844375,0.4221517642096785,0.5049309156416777,0.4568204985720493,20,2,0.0007834757834758177,1.0,83.4,A,0.32926119837114604,3.3581774760475835,0.3093573004984825,17,6,0,0.25384615384615383,0.25462962962962965,0.45692665890570433,0.42840512223515714,0.11466821885913853,0.2545824847250509,0.21770917952883834,0.2,0.23173016864459714,0.2570093457943925,248,0.25,163,False,False,0.602444741360625,-0.040133970521456286,3.760869565217391,4.467391304347826,92,0.20005987139413248,0.2122077648609507,-0.012147893466818216,0.3976678663517761,0.40760405382876597,-0.009936187476989877,-0.10947684981832173,20
641355,Cody Bellinger,L,AL,6,Cristopher Sánchez,L,650911,823443,AL @ NL,5:00 PM,14/07,Pre-Game,0.5476112193378941,,,,False,0110101111,live,0,0,0.0,0.22364114710322228,0.3127640655569076,0.3609812498575721,0.25290365004532156,20,2,0.04293224299065421,1.0,73.7,B,0.32819383259911894,5.436223427459754,0.4365673927677841,19,3,0,0.28125,0.2383177570093458,0.42015418502202645,0.183920704845815,0.3959251101321586,0.2203626220362622,0.24891461649782923,0.2558139534883721,0.23428348301444749,0.23880597014925373,232,0.2765957446808511,167,False,False,0.5174362138228917,0.030175005515002407,3.6774193548387095,4.290322580645161,93,0.1839958894967948,0.16317518049181012,0.020820709004984672,0.4098022162564106,0.3197361584400403,0.09006605781637034,-0.028255927194013177,20
682928,Cj Abrams,L,NL,4,Dylan Cease,R,656302,823443,AL @ NL,5:00 PM,14/07,Pre-Game,0.5381793953760793,,,,False,1101111111,live,0,0,0.0,0.25667828095901973,0.34379445736838504,0.42416667337579655,0.3414579336097031,20,2,0.025755720877672084,1.0,83.4,A,0.32926119837114604,3.3581774760475835,0.3093573004984825,17,6,0,0.25609756097560976,0.28185328185328185,0.45692665890570433,0.42840512223515714,0.11466821885913853,0.25290215588723053,0.25950054288816504,0.2398989898989899,0.25295974743488553,0.29533678756476683,224,0.25,168,False,False,0.5735012033149315,-0.0353218079388522,3.7065217391304346,4.260869565217392,92,0.18587042042486943,0.18587042042486943,0.0,0.3699159338304296,0.3853486532376735,-0.015432719407243889,0.19922499667812796,20
645277,Ozzie Albies,L,NL,6,Dylan Cease,R,656302,823443,AL @ NL,5:00 PM,14/07,Pre-Game,0.5283889337191985,,,,False,1111111001,live,0,0,0.0,0.19902701618200103,0.22512206722155334,0.23124491143109005,0.2737736870383582,20,2,-0.08639931322050529,1.0,83.4,A,0.32926119837114604,3.3581774760475835,0.3093573004984825,17,6,0,0.31788079470198677,0.23148148148148148,0.45692665890570433,0.42840512223515714,0.11466821885913853,0.2591155934833204,0.2526178010471204,0.24750830564784054,0.2554470323065364,0.2785388127853881,244,0.25,166,False,False,0.5152326398527562,0.013156293866442237,3.863157894736842,4.315789473684211,95,0.157928271011239,0.16302126935577113,-0.00509299834453214,0.3416492560363397,0.32723156889574906,0.014417687140590663,0.014773479287874243,20
571970,Max Muncy,L,NL,5,Dylan Cease,R,656302,823443,AL @ NL,5:00 PM,14/07,Pre-Game,0.510270893655729,,,,False,1110010100,live,4,1,0.25,0.18961740162586066,0.3053384452557393,0.38511143809037146,0.3153994807357411,20,2,0.009414225941422605,1.0,83.4,A,0.32926119837114604,3.3581774760475835,0.3093573004984825,17,6,0,0.25,0.2594142259414226,0.45692665890570433,0.42840512223515714,0.11466821885913853,0.265807962529274,0.2391304347826087,0.26305220883534136,0.2551498127340824,0.29012345679012347,184,0.21705426356589147,148,False,False,0.5343559646257011,-0.024085070969972144,3.3448275862068964,3.8160919540229883,87,0.1555977535013419,0.1555977535013419,0.0,0.35035163642873407,0.32873234141378216,0.02161929501495191,-0.045128646601983284,20
676391,Ernie Clement,R,AL,9,Cristopher Sánchez,L,650911,823443,AL @ NL,5:00 PM,14/07,Pre-Game,0.47275798941173774,,,,False,1001111111,live,3,1,0.3333333333333333,0.2835223964211717,0.2969657316793299,0.12301618291522605,0.2960216762953609,20,2,-0.02430345245305876,1.0,73.7,B,0.32819383259911894,5.436223427459754,0.4365673927677841,19,3,0,0.27884615384615385,0.3031496062992126,0.42015418502202645,0.183920704845815,0.3959251101321586,0.2848932676518883,0.3034013605442177,0.2878228782287823,0.29142343960484957,0.26635514018691586,221,0.3402777777777778,153,False,False,0.4213257898934286,0.05143219951830913,3.849462365591398,4.021505376344086,93,0.1270690432395282,0.10194089097633756,0.025128152263190637,0.2611690442505547,0.2554488267816448,0.005720217468909883,0.21159148536542638,20
686948,Drake Baldwin,L,NL,9,Dylan Cease,R,656302,823443,AL @ NL,5:00 PM,14/07,Pre-Game,0.2871875325301945,,,,False,0011011011,live,0,0,0.0,0.20216928580184826,0.34716263746474163,0.5453017283455145,0.2684241697376049,20,2,-0.02418994413407824,1.0,83.4,A,0.32926119837114604,3.3581774760475835,0.3093573004984825,17,6,0,0.27,0.24581005586592178,0.45692665890570433,0.42840512223515714,0.11466821885913853,0.239642567018684,0.21897810218978103,0.2484076433121019,0.23510971786833856,0.24561403508771928,194,0.26851851851851855,125,False,False,0.32218752727263483,-0.03499999474244031,3.875,4.430555555555555,72,0.05222275683084011,0.0568425831255083,-0.004619826294668193,0.1401773576306215,0.16101069096395484,-0.020833333333333343,-0.11683484387630012,20
681624,Andy Pages,R,NL,8,Dylan Cease,R,656302,823443,AL @ NL,5:00 PM,14/07,Pre-Game,0.28398753671509086,,,,False,1101001110,live,4,1,0.25,0.2480590207610721,0.3135602378052535,0.44775993300187933,0.32565683091319164,20,2,-0.01865508177570091,1.0,83.4,A,0.32926119837114604,3.3581774760475835,0.3093573004984825,17,6,0,0.2803738317757009,0.26171875,0.45692665890570433,0.42840512223515714,0.11466821885913853,0.2587616822429907,0.2255266418835192,0.26245847176079734,0.2508846426043878,0.22439024390243903,229,0.3227848101265823,179,False,False,0.29135595776772244,-0.00736842105263158,3.8617021276595747,4.340425531914893,94,0.06019052892328575,0.06619809290953431,-0.0060075639862485625,0.18587188150552522,0.15311464677883713,0.032757234726688095,0.17734143944852657,20
700250,Ben Rice,L,AL,7,Cristopher Sánchez,L,650911,823443,AL @ NL,5:00 PM,14/07,Pre-Game,0.28398753671509086,,,,False,1011111111,live,0,0,0.0,0.31192493032026003,0.3672391179423301,0.5413575671415506,0.4007856098304992,20,2,-0.023273039139248386,1.0,73.7,B,0.32819383259911894,5.436223427459754,0.4365673927677841,19,3,0,0.2644628099173554,0.28773584905660377,0.42015418502202645,0.183920704845815,0.3959251101321586,0.2575640031031808,0.27455121436114044,0.25396825396825395,0.26431226765799254,0.27,226,0.2932330827067669,161,False,False,0.2768279372703986,0.007159599444692244,3.7,4.3,90,0.06177900531579348,0.05205178417408881,0.00972722114170467,0.2193907520283381,0.12224351480236066,0.09714723722597744,-0.04345410525870036,20
669016,Brandon Marsh,L,NL,7,Dylan Cease,R,656302,823443,AL @ NL,5:00 PM,14/07,Pre-Game,0.2821949980023857,,,,False,1001011100,live,3,1,0.3333333333333333,0.21510363069399469,0.31873099479067174,0.45391741672432645,0.3468614771395693,20,2,-0.018439527237181175,1.0,83.4,A,0.32926119837114604,3.3581774760475835,0.3093573004984825,17,6,0,0.3118279569892473,0.29338842975206614,0.45692665890570433,0.42840512223515714,0.11466821885913853,0.28171206225680934,0.2608173076923077,0.2936046511627907,0.2761557177615572,0.2872340425531915,200,0.3129251700680272,159,False,False,0.3167623665747469,-0.0345673685723612,3.7222222222222223,3.988888888888889,90,0.06996515685834555,0.06996515685834555,0.0,0.20419546692064636,0.19376792569064294,0.010427541230003418,-0.01772621804783594,20
682985,Riley Greene,L,AL,8,Cristopher Sánchez,L,650911,823443,AL @ NL,5:00 PM,14/07,Pre-Game,0.2811963583230302,,,,False,0111010101,live,2,0,0.0,0.31695007144754594,0.41125062525759304,0.4976600540938665,0.3813317988988553,20,2,0.008326774100004153,1.0,73.7,B,0.32819383259911894,5.436223427459754,0.4365673927677841,19,3,0,0.297029702970297,0.28870292887029286,0.42015418502202645,0.183920704845815,0.3959251101321586,0.2962962962962963,0.3321917808219178,0.25258493353028066,0.29309063893016346,0.30927835051546393,220,0.2671232876712329,176,False,False,0.2768279372703986,0.004368421052631577,3.617021276595745,4.212765957446808,94,0.06023200376879193,0.05205178417408881,0.008180219594703123,0.21104427985343818,0.17553704396885197,0.03550723588458621,0.11080635781156842,20
