batter_id,name,batter_hand,team,slot,pitcher,pitcher_hand,opp_pitcher_id,game_pk,matchup,start_time,game_date,game_state,p_hit,hit_odds,no_hit_odds,yes_cents,has_hit,last5,lineup_source,bvp_ab,bvp_h,bvp_avg,b_hit_rate,b_xba,b_hardhit,b_n_games,b_days_rest,split_diff,park_factor,p_rating,p_grade,p_csw,p_k_bb,p_hardhit_allowed,p_n_games,p_days_rest,is_opener,b_hit_rate_vs_L,b_hit_rate_vs_R
665923,Esteury Ruiz,R,MIA,5,Andre Pallante,R,669467,823038,MIA @ STL,4:15 PM,27/06,Final,0.6426325919387601,,,,False,1101100101,live,0,0,0.0,0.35818152701837497,0.3729491349549923,0.312624471312394,20,1,0.14701897018970192,1.031,78.0,B,0.28888888888888886,2.8929217307942654,0.34098806775565516,15,5,0,0.19444444444444445,0.34146341463414637
596019,Francisco Lindor,L,NYM,4,Tim Mayza,L,641835,823609,PHI @ NYM,1:10 PM,27/06,Final,0.6420746176238431,-193,144,,True,0101101101,live,0,0,0.0,0.2868726929847605,0.33429232661542024,0.5451226408562891,20,1,-0.0893970893970894,0.949,62.1,C,0.29347826086956524,71.07755497818219,0.4280194252748154,20,2,0,0.15384615384615385,0.24324324324324326
677800,Wilyer Abreu,L,BOS,3,Gerrit Cole,R,543037,824745,NYY @ BOS,10:10 AM,27/06,Final,0.6418768114738701,-209,156,,False,0101111001,live,0,0,0.0,0.24800126023159577,0.2632094031668409,0.34007774442689687,20,1,-0.11666666666666667,1.063,76.2,B,0.2937625754527163,3.208738604287433,0.3624737821686833,6,5,0,0.3611111111111111,0.24444444444444444
672515,Gabriel Moreno,R,AZ,4,Cole Sulser,R,642121,822960,AZ @ TB,3:10 PM,27/06,Final,0.6418768114738701,-163,122,,True,1111111111,live,0,0,0.0,0.37004585383210825,0.36813605113269493,0.46569236395696917,20,1,0.03999999999999998,0.96,60.0,C,0.24475524475524477,7.388372785592618,0.3431891995012669,20,3,0,0.26,0.3
668227,Randy Arozarena,R,SEA,4,Slade Cecconi,R,677944,824421,SEA @ CLE,4:10 PM,27/06,Final,0.6415699155044584,-191,143,60.0,True,1110010011,live,0,0,0.0,0.2534809605846015,0.3123878619245864,0.3782937972833797,20,1,0.014473684210526305,0.987,58.4,C,0.26671565025716387,2.7478894684117434,0.3758189580002927,16,6,0,0.275,0.2894736842105263
680757,Steven Kwan,L,CLE,1,Logan Gilbert,R,669302,824421,SEA @ CLE,4:10 PM,27/06,Final,0.6410142367867488,-192,143,60.0,False,0010000111,live,0,0,0.0,0.24453269066147812,0.3773992546088618,0.14346470336522044,20,1,0.10953800298062594,0.987,66.4,B,0.30206112295664533,4.401686171861081,0.43880974681620344,15,6,0,0.13636363636363635,0.2459016393442623
664040,Brandon Lowe,L,PIT,2,Chase Burns,R,695505,823364,CIN @ PIT,1:05 PM,27/06,Final,0.6409511393327311,-249,184,,True,1111111110,live,1,0,0.0,0.2598063646268858,0.3406065437954351,0.5042442678301016,20,1,0.04591836734693877,1.013,83.6,A,0.2966162706983441,3.568122206785494,0.35509793876276635,15,6,0,0.20408163265306123,0.25
592885,Christian Yelich,L,MIL,5,David Peterson,L,656849,823770,CHC @ MIL,4:10 PM,27/06,Final,0.6393885930777373,,,,False,0101110001,live,0,0,0.0,0.21502131964902058,0.3396686309538827,0.46630887211951616,20,1,-0.00694444444444442,0.97,41.8,D,0.2783143107989464,1.999103318391461,0.4067796923048666,16,6,0,0.25,0.2569444444444444
668804,Bryan Reynolds,L,PIT,3,Chase Burns,R,695505,823364,CIN @ PIT,1:05 PM,27/06,Final,0.6393812823392765,-252,186,,True,1111111111,live,1,0,0.0,0.3843740801067102,0.4138114406407599,0.5907902692816434,20,1,-0.008103415010611625,1.013,83.6,A,0.2966162706983441,3.568122206785494,0.35509793876276635,15,6,0,0.29577464788732394,0.2876712328767123
669003,Garrett Mitchell,L,MIL,4,David Peterson,L,656849,823770,CHC @ MIL,4:10 PM,27/06,Final,0.6338439828013985,,,,False,1001001011,live,0,0,0.0,0.25297676732150903,0.36217762981380275,0.4020956751986742,20,1,-0.05329876116392973,0.97,41.8,D,0.2783143107989464,1.999103318391461,0.4067796923048666,16,6,0,0.20512820512820512,0.25842696629213485
