batter_id,name,batter_hand,team,slot,pitcher,pitcher_hand,opp_pitcher_id,game_pk,matchup,start_time,game_date,game_state,p_hit,hit_odds,no_hit_odds,yes_cents,has_hit,last5,lineup_source,bvp_ab,bvp_h,bvp_avg,bvp_career,bvp_since,b_hit_rate,b_xba,b_hardhit,b_babip,b_k_rate,b_n_games,b_days_rest,split_diff,park_factor,p_rating,p_grade,p_csw,p_k_bb,p_hardhit_allowed,p_k_rate,p_n_games,p_days_rest,is_opener,b_hit_rate_vs_L,b_hit_rate_vs_R,p_use_fb,p_use_bb,p_use_os,b_hr_vs_fb,b_hr_vs_bb,b_hr_vs_os,b_hr_overall,b_hit_rate_vs_sp,b_pa_vs_sp,b_hit_rate_vs_rp,b_pa_vs_rp,b_is_rookie,p_is_rookie,base_p_hit,matchup_delta,b_avg_ab,b_avg_pa,b_games_played,p_multihit,base_p_multihit,p_multihit_matchup_delta,p_hrRbi,base_p_hrRbi,p_hrRbi_matchup_delta,b_quality_first3,b_n_games_first3,p_era,p_whip_official,p_ip,p_wins,p_losses,p_so,p_bb_official,p_saves,p_blown_saves,p_save_opps,p_games_started,p_role,p_games_pitched,p_bf_official,p_hits_allowed,p_bf_per_g,p_k9,p_bb9,p_h9,p_hr9,p_avg_bf,pen_delta,pen_available_n,pen_rested_frac,def_oaa_tonight,def_oaa_n,sched_games_7d,sched_day_after_night,sched_getaway,sched_tz_shift,b_pa,b_bb_rate,b_hit_rate_long,b_k_rate_long,b_bb_rate_long,b_hardhit_long,b_xba_long,p_hit_rate_vs_hand,slot_pa_exp,def_babip_allowed,did_not_play
521692,Salvador Pérez,R,KC,4,Ryan Feltner,R,663372,824326,KC @ COL,5:10 PM,01/08,Final,0.7396159895440317,-257.0,270.0,72.0,True,0101101101,live,0,0,0.0,0,0,0.2382870712379091,0.39064291207011465,0.4755362494578499,0.35783432427276274,0.27088555590197955,20,2,-0.021755162241887893,1.148,32.9,F,0.2644770959377701,1.8465244137276158,0.42753512404085203,0.18184625018874606,15,8,0,0.23008849557522124,0.20833333333333334,0.4070872947277442,0.4347450302506482,0.1581676750216076,0.2093987560469938,0.17697594501718214,0.2619047619047619,0.2020304568527919,0.2157676348547718,263,0.2125,173,False,False,0.6364813983172204,0.10313459122681135,3.8932038834951457,4.233009708737864,103,,,,,,,0.04084519801659824,20,5.73,1.46,70.2,3,5,54,29,0,0,0,15,SP,15,308,74,20.5,6.88,3.69,9.42,1.91,21.071085678718067,-0.022158846686888833,7,0.875,2.0,6,6,0,0,0.0,4.35,0.03880039329488315,0.21739130434782608,0.20278330019880716,0.03777335984095427,0.4337057728119181,0.29084916201117317,0.2708333333333333,4.159,0.37216003490416955,
686948,Drake Baldwin,L,ATL,1,Miles Mikolas,R,571945,824890,WSH @ ATL,4:15 PM,01/08,Final,0.7350645099600673,-9900.0,9900.0,99.0,True,1111111100,live,0,0,0.0,0,0,0.32133229792268236,0.3653219590644183,0.5218177176611255,0.4001034096655911,0.15137040990231207,20,1,0.025482169856547554,1.018,43.5,D,0.24234853216739538,2.5172625417444343,0.4280248981788408,0.0981941561175461,20,6,0,0.2595419847328244,0.28502415458937197,0.500625,0.425,0.074375,0.26525198938992045,0.2350061199510404,0.3,0.26173020527859236,0.27403846153846156,236,0.27692307692307694,152,False,False,0.6857548271844749,0.049309682775592445,3.8850574712643677,4.459770114942529,87,,,,,,,0.08863224329548683,20,5.65,1.33,102.0,3,7,52,21,0,0,0,9,RP,22,435,115,19.8,4.59,1.85,10.15,2.03,19.929358147286084,-0.0352895099600673,8,0.8888888888888888,4.0,7,8,0,0,0.0,4.65,0.11906340794216602,0.27876106194690264,0.187984496124031,0.10465116279069768,0.5107981220657277,0.33498591549295775,0.2894736842105263,4.44,0.31661178661155787,
650333,Luis Arráez,L,SF,1,Walker Buehler,R,621111,823269,SF @ SD,5:40 PM,01/08,Final,0.7349348524180502,-245.0,257.0,71.0,False,0011111101,live,13,3,0.23076923076923078,1,2024,0.3182869131832483,0.33896352496861404,0.1527682572966422,0.3656542412786454,0.09274657453458404,20,2,-0.024991245105217885,0.954,49.4,D,0.2690972222222222,1.9453841931606197,0.4047744905747698,0.20866207646211088,20,7,0,0.3465346534653465,0.3215434083601286,0.6190476190476191,0.27990708478513354,0.10104529616724739,0.36297728371193816,0.33241379310344826,0.31234866828087166,0.34851301115241634,0.3699186991869919,268,0.26506024096385544,187,False,False,0.7340870052399868,0.00084784717806341,4.0,4.41747572815534,103,,,,,,,0.17042233622402375,20,5.13,1.41,100.0,6,5,91,42,0,0,0,21,SP,21,434,99,20.7,8.19,3.78,8.91,1.17,20.975433048878514,-0.005134852418050229,4,0.5714285714285714,17.0,7,7,0,0,0.0,4.65,0.02900612333225031,0.32983193277310924,0.045714285714285714,0.047619047619047616,0.20737463126843658,0.3082245575221239,0.27488151658767773,4.44,0.3001857457574626,True
671739,Michael Harris,L,ATL,4,Miles Mikolas,R,571945,824890,WSH @ ATL,4:15 PM,01/08,Final,0.726705215574845,335.0,104.0,23.0,False,0111110001,live,13,5,0.38461538461538464,1,2022,0.2297943757898451,0.32052270647859454,0.40169666756573813,0.27548959309393173,0.15260192577039397,20,1,-0.007526159700072754,1.018,43.5,D,0.24234853216739538,2.5172625417444343,0.4280248981788408,0.0981941561175461,20,6,0,0.2971014492753623,0.28957528957528955,0.500625,0.425,0.074375,0.2698300283286119,0.25028968713789107,0.3088235294117647,0.27101769911504425,0.2857142857142857,232,0.3,190,False,False,0.6769900463027558,0.04971516927208919,3.8173076923076925,4.0576923076923075,104,,,,,,,0.10312513322361179,20,5.65,1.33,102.0,3,7,52,21,0,0,0,9,RP,22,435,115,19.8,4.59,1.85,10.15,2.03,19.929358147286084,-0.03589271557484508,8,0.8888888888888888,4.0,7,8,0,0,0.0,4.35,0.018382034574314164,0.29933481152993346,0.18410041841004185,0.03556485355648536,0.4956841138659321,0.3606831955922865,0.2894736842105263,4.159,0.31661178661155787,
695506,Jac Caglianone,L,KC,3,Ryan Feltner,R,663372,824326,KC @ COL,5:10 PM,01/08,Final,0.726315239698247,-285.0,300.0,74.0,True,1000000110,live,0,0,0.0,0,0,0.1818146388764826,0.3146484236066549,0.5562917135168682,0.21285400953997272,0.18226822948975613,20,2,-0.013188453881884526,1.148,32.9,F,0.2644770959377701,1.8465244137276158,0.42753512404085203,0.18184625018874606,15,8,0,0.26136363636363635,0.24817518248175183,0.4070872947277442,0.4347450302506482,0.1581676750216076,0.2395659432387312,0.2292358803986711,0.2186046511627907,0.23188976377952755,0.2561576354679803,226,0.24528301886792453,168,False,False,0.6490686922431407,0.07724654745510628,3.549019607843137,3.8627450980392157,102,,,,,,,-0.07720778216972322,20,5.73,1.46,70.2,3,5,54,29,0,0,0,15,SP,15,308,74,20.5,6.88,3.69,9.42,1.91,21.071085678718067,-0.02310095398396128,7,0.875,2.0,6,6,0,0,0.0,4.45,0.03676406914862833,0.23891625615763548,0.2825112107623318,0.07623318385650224,0.5285714285714286,0.3641464285714286,0.2631578947368421,4.248,0.37216003490416955,
621566,Matt Olson,L,ATL,3,Miles Mikolas,R,571945,824890,WSH @ ATL,4:15 PM,01/08,Final,0.7236945816844984,-203.0,212.0,67.0,True,1010101101,live,17,4,0.23529411764705882,1,2022,0.2241090331167036,0.3454467103108827,0.46562312235563585,0.38796757756240297,0.3518907111458552,20,1,0.008964719491035278,1.018,43.5,D,0.24234853216739538,2.5172625417444343,0.4280248981788408,0.0981941561175461,20,6,0,0.25824175824175827,0.26720647773279355,0.500625,0.425,0.074375,0.2758298270219729,0.25546218487394956,0.26881720430107525,0.26894736842105266,0.26294820717131473,284,0.2640449438202247,199,False,False,0.6511460353062924,0.07254854637820596,3.9,4.390909090909091,110,,,,,,,0.03656552444016467,20,5.65,1.33,102.0,3,7,52,21,0,0,0,9,RP,22,435,115,19.8,4.59,1.85,10.15,2.03,19.929358147286084,-0.05536958168449835,8,0.8888888888888888,4.0,7,8,0,0,0.0,4.45,0.10115115085153542,0.25862068965517243,0.248565965583174,0.09751434034416825,0.49820359281437127,0.3264341317365269,0.2894736842105263,4.248,0.31661178661155787,
802415,Chandler Simpson,L,TB,2,Jordan Hicks,R,663855,822944,CWS @ TB,1:10 PM,01/08,Final,0.6752541805932627,-186.0,223.0,65.0,True,1110111001,live,0,0,0.0,0,0,0.32483363929068065,0.2645747241380146,0.090505853027068,0.35863435933361704,0.09046543862572323,20,1,0.09713297083539299,0.96,83.8,A,0.3036750483558994,4.139333039741286,0.25756072768377475,0.3903356458234837,20,3,0,0.21428571428571427,0.31141868512110726,0.630648330058939,0.343811394891945,0.025540275049115914,0.2935545628589662,0.2562814070351759,0.266839378238342,0.28171206225680934,0.3026315789473684,246,0.2689655172413793,158,False,False,0.6644722106148345,0.010781969978428174,3.806122448979592,4.122448979591836,98,,,,,,,0.1436512144179358,20,3.19,1.48,31.0,1.0,1.0,36.0,22.0,1.0,1.0,2.0,0.0,RP,34.0,137.0,24.0,4.0,10.45,6.39,6.97,0.29,3.7398938575070195,0.0013958194067373864,4,0.5,8.0,7,6,1,0,0.0,4.25,0.025643713832606597,0.3030973451327434,0.08847736625514403,0.04526748971193416,0.15558272208638957,0.2898638956805216,0.1891891891891892,4.023,0.2884699539452731,
805779,Jacob Wilson,R,ATH,1,Framber Valdez,L,664285,824972,DET @ ATH,6:40 PM,01/08,Final,0.7089593131772248,-257.0,270.0,72.0,True,1100001111,live,12,4,0.3333333333333333,1,2024,0.25305858495153055,0.35287287914190224,0.2954933884350172,0.28963761752211653,0.09760001286727972,20,2,-0.02880446004542636,0.977,41.4,D,0.2727272727272727,1.996195215003736,0.43942001359503696,0.17952310291830853,20,7,0,0.25862068965517243,0.2874251497005988,0.48091603053435117,0.3293347873500545,0.18974918211559433,0.283179012345679,0.2896551724137931,0.26146788990825687,0.28230805913209345,0.28735632183908044,183,0.25688073394495414,116,False,False,0.6857548271844749,0.023204485992749935,4.042857142857143,4.271428571428571,70,,,,,,,0.07810383016378405,20,4.53,1.38,113.1,5,7,92,41,0,0,0,21,SP,21,503,115,24.0,7.31,3.26,9.13,0.95,23.456010633039153,-0.025884313177224838,4,0.5,-7.0,6,7,0,0,0.0,4.65,0.029042326520375954,0.26394849785407726,0.09696969696969697,0.04040404040404041,0.2632775119617225,0.2754250398724083,0.2594752186588921,4.44,0.27335935831506153,
663968,Jake Mangum,L,PIT,1,Andrew Abbott,L,671096,824485,PIT @ CIN,3:40 PM,01/08,Final,0.7053054549158734,-9900.0,9900.0,99.0,True,1011111111,live,8,1,0.125,1,2025,0.28485459991661677,0.31192495627278316,0.23338441196876136,0.3654150190432457,0.1773351508586299,20,1,-0.035244477537850594,1.083,45.2,D,0.2661207778915046,1.7781754539218906,0.39688479065934745,0.1980291948749949,20,6,0,0.27848101265822783,0.3137254901960784,0.4755532681420484,0.33968090581574883,0.1847658260422028,0.2918149466192171,0.3347107438016529,0.28402366863905326,0.30066700872242175,0.33766233766233766,161,0.26356589147286824,149,False,False,0.6857548271844749,0.019550627731398484,3.493827160493827,3.8271604938271606,81,,,,,,,0.14710080358563818,20,3.85,1.38,117.0,5,6,94,54,0,0,0,22,SP,22,505,108,23.0,7.23,4.15,8.31,1.31,22.991642395777845,-0.00860545491587339,4,0.5,0.0,7,7,0,0,0.0,4.65,0.03125951866666334,0.30900243309002434,0.17194570135746606,0.038461538461538464,0.27487562189054726,0.30872487562189055,0.23577235772357724,4.44,0.30148207195239896,
657041,Lane Thomas,R,KC,2,Ryan Feltner,R,663372,824326,KC @ COL,5:10 PM,01/08,Final,0.7022580581018115,-245.0,257.0,71.0,True,0100011101,live,0,0,0.0,0,0,0.20852913725112085,0.3450959637928774,0.5630489667469826,0.37635266019361574,0.3577041133470805,20,2,-0.01732946008213962,1.148,32.9,F,0.2644770959377701,1.8465244137276158,0.42753512404085203,0.18184625018874606,15,8,0,0.23880597014925373,0.2214765100671141,0.4070872947277442,0.4347450302506482,0.1581676750216076,0.22213500784929358,0.1794871794871795,0.22957198443579765,0.2095782073813708,0.24050632911392406,177,0.216,149,False,False,0.6257244846780416,0.07653357342376987,3.043010752688172,3.5053763440860215,93,,,,,,,-0.0787812604826087,20,5.73,1.46,70.2,3,5,54,29,0,0,0,15,SP,15,308,74,20.5,6.88,3.69,9.42,1.91,21.071085678718067,-0.011943772387525864,7,0.875,2.0,6,6,0,0,0.0,4.55,0.07260806960117501,0.21153846153846154,0.25176470588235295,0.12941176470588237,0.39948119325551235,0.30698054474708175,0.2708333333333333,4.348,0.37216003490416955,
