batter_id,name,batter_hand,team,slot,pitcher,pitcher_hand,opp_pitcher_id,game_pk,matchup,start_time,game_date,game_state,p_hit,hit_odds,no_hit_odds,yes_cents,has_hit,last5,lineup_source,bvp_ab,bvp_h,bvp_avg,b_hit_rate,b_xba,b_hardhit,b_babip,b_k_rate,b_n_games,b_days_rest,split_diff,park_factor,p_rating,p_grade,p_csw,p_k_bb,p_hardhit_allowed,p_k_rate,p_n_games,p_days_rest,is_opener,b_hit_rate_vs_L,b_hit_rate_vs_R,p_use_fb,p_use_bb,p_use_os,b_hr_vs_fb,b_hr_vs_bb,b_hr_vs_os,b_hr_overall,b_hit_rate_vs_sp,b_pa_vs_sp,b_hit_rate_vs_rp,b_pa_vs_rp,b_is_rookie,p_is_rookie,base_p_hit,matchup_delta,b_avg_ab,b_avg_pa,b_games_played,p_multihit,base_p_multihit,p_multihit_matchup_delta,p_hrRbi,base_p_hrRbi,p_hrRbi_matchup_delta,b_quality_first3,b_n_games_first3,p_era,p_whip_official,p_ip,p_wins,p_losses,p_so,p_bb_official,p_saves,p_blown_saves,p_save_opps,p_games_started,p_role,p_games_pitched,p_bf_official,p_hits_allowed,p_bf_per_g,p_k9,p_bb9,p_h9,p_hr9,p_avg_bf
663968,Jake Mangum,L,PIT,1,Merrill Kelly,R,518876.0,823353,AZ @ PIT,3:40 PM,27/07,Scheduled,0.7712069194885824,,,,False,1111010111,estimated,0,0,0.0,0.2830288853237727,0.2942970655861241,0.19632903547739827,0.3384487252893597,0.14227894237187022,20,1,0.036436114413595344,1.013,21.5,F,0.2456246228123114,1.7513758344826067,0.46776978516241063,0.14761454737618726,18,4,0,0.27848101265822783,0.3149171270718232,0.5130224106602059,0.22652937613567534,0.2604482132041187,0.2973790322580645,0.3433179723502304,0.2964169381107492,0.30817972350230416,0.34782608695652173,145,0.2540983606557377,140,False,False,0.6783396127876898,0.0928673067008926,3.4210526315789473,3.75,76,,,,,,,0.13278342941992188,20,5.12,1.48,103.2,8.0,8.0,65.0,41.0,0.0,0.0,0.0,18.0,SP,18.0,451.0,112.0,25.1,5.64,3.56,9.72,1.91,24.721412713805172
693304,Nick Gonzales,R,PIT,2,Merrill Kelly,R,518876.0,823353,AZ @ PIT,3:40 PM,27/07,Scheduled,0.7302827513499995,,,,False,1111111111,estimated,0,0,0.0,0.34050154214244066,0.30343927432098267,0.4059362953665405,0.41158603415614364,0.16162235824454618,20,1,0.04158890962410022,1.013,21.5,F,0.2456246228123114,1.7513758344826067,0.46776978516241063,0.14761454737618726,18,4,0,0.2809917355371901,0.3225806451612903,0.5130224106602059,0.22652937613567534,0.2604482132041187,0.28900592495062544,0.2820838627700127,0.23961661341853036,0.2819634703196347,0.2922374429223744,228,0.3333333333333333,176,False,False,0.6780147298187339,0.05226802153126564,3.7653061224489797,4.122448979591836,98,,,,,,,0.31973961722423966,20,5.12,1.48,103.2,8.0,8.0,65.0,41.0,0.0,0.0,0.0,18.0,SP,18.0,451.0,112.0,25.1,5.64,3.56,9.72,1.91,24.721412713805172
682829,Elly De La Cruz,L,CIN,1,Slade Cecconi,R,677944.0,824490,CLE @ CIN,4:10 PM,27/07,Scheduled,0.7260072210788943,-245.0,270.0,71.0,False,1111101011,estimated,0,0,0.0,0.2822886103811055,0.39352155230921204,0.5268140172064678,0.34254204839143876,0.19242440840838526,20,1,-0.06911392405063288,1.083,44.6,D,0.26365237815619497,2.6200953619964724,0.4156959126477068,0.18304633631094253,20,4,0,0.3291139240506329,0.26,0.7271655863288156,0.2498526812021214,0.022981732469063054,0.250332005312085,0.25259515570934254,0.253125,0.2521537442014579,0.2744186046511628,236,0.2807017543859649,137,False,False,0.6783396127876898,0.04766760829120442,3.963855421686747,4.493975903614458,83,,,,,,,0.11215362806883994,20,4.6,1.45,103.2,4.0,7.0,82.0,34.0,0.0,0.0,0.0,20.0,SP,20.0,455.0,116.0,22.8,7.12,2.95,10.07,1.3,22.793051610783674
695578,James Wood,L,WSH,1,Max Scherzer,R,453286.0,822705,TOR @ WSH,3:45 PM,27/07,Scheduled,0.7168836574812453,-203.0,245.0,67.0,False,1110011011,estimated,0,0,0.0,0.27539257535947853,0.422858338904467,0.5369441411334954,0.4254399424898568,0.28675000917503957,20,1,0.03748733535967577,1.04,20.5,F,0.215962441314554,1.1872488435731807,0.43520204290428843,0.14180650498440375,6,46,0,0.24822695035460993,0.2857142857142857,0.4823529411764706,0.3623529411764706,0.15529411764705883,0.26966932725199544,0.25765907305577374,0.26252158894645944,0.26477084483710656,0.27848101265822783,293,0.26380368098159507,197,False,False,0.6533573545492335,0.06352630293201178,3.8461538461538463,4.711538461538462,104,,,,,,,0.015911835840995266,20,10.23,1.73,22.0,1.0,4.0,14.0,11.0,0.0,0.0,0.0,6.0,SP,6.0,102.0,27.0,17.0,5.73,4.5,11.05,3.68,17.055485209579633
701398,Sal Stewart,R,CIN,2,Slade Cecconi,R,677944.0,824490,CLE @ CIN,4:10 PM,27/07,Scheduled,0.7164356809276103,,,,False,1110100111,estimated,0,0,0.0,0.22782830226616382,0.26817239320533187,0.31101043495071184,0.2780618266538527,0.19924360584894918,20,1,0.04834635724998029,1.083,44.6,D,0.26365237815619497,2.6200953619964724,0.4156959126477068,0.18304633631094253,20,4,0,0.2073170731707317,0.255663430420712,0.7271655863288156,0.2498526812021214,0.022981732469063054,0.24816625916870416,0.26704545454545453,0.287292817679558,0.25887071891391544,0.26422764227642276,274,0.21379310344827587,172,False,False,0.6654773160957228,0.05095836483188754,3.8333333333333335,4.372549019607843,102,,,,,,,-0.11391366485091398,20,4.6,1.45,103.2,4.0,7.0,82.0,34.0,0.0,0.0,0.0,20.0,SP,20.0,455.0,116.0,22.8,7.12,2.95,10.07,1.3,22.793051610783674
676391,Ernie Clement,R,TOR,1,Andrew Alvarez,L,674841.0,822705,TOR @ WSH,3:45 PM,27/07,Scheduled,0.7122295333675739,,,,False,1101110101,estimated,0,0,0.0,0.3018907661605961,0.2870460984193713,0.21695977272159564,0.33397186525134087,0.07292878102505694,20,1,-0.029264107778342652,1.04,33.4,F,0.28632938643702904,2.164470748007196,0.4566940366803683,0.2295281675538486,14,6,0,0.2767857142857143,0.30604982206405695,0.4241119483315393,0.5468245425188375,0.02906350914962325,0.2833333333333333,0.2893772893772894,0.2515527950310559,0.28186856690419637,0.2627118644067797,245,0.3503184713375796,168,False,False,0.6861535790728054,0.0260759542947685,3.8529411764705883,4.049019607843137,102,,,,,,,0.16027133357217715,20,4.22,1.5,53.1,2.0,3.0,55.0,25.0,1.0,0.0,1.0,7.0,RP,14.0,233.0,55.0,16.6,9.28,4.22,9.28,0.34,17.351151777486397
606466,Ketel Marte,L,AZ,1,Mitch Keller,R,656605.0,823353,AZ @ PIT,3:40 PM,27/07,Scheduled,0.7043277520289061,-186.0,212.0,65.0,False,0011110110,estimated,3,1,0.3333333333333333,0.2133454910360156,0.3055711328441101,0.32585952620901687,0.27196959488534717,0.19653499810888195,20,1,0.007049216930879398,1.013,33.7,F,0.2609447004608295,2.200349348875063,0.43439162128259434,0.18209725038448973,20,4,0,0.2523364485981308,0.2593856655290102,0.570028818443804,0.34178674351585014,0.08818443804034583,0.23994811932555124,0.21208530805687204,0.23902439024390243,0.23285536159600997,0.2490118577075099,272,0.272108843537415,165,False,False,0.6691503683706674,0.03517738365823864,4.040404040404041,4.414141414141414,99,,,,,,,0.07289573902597365,20,4.9,1.31,108.1,6.0,7.0,83.0,37.0,0.0,0.0,0.0,20.0,SP,20.0,464.0,105.0,23.2,6.9,3.07,8.72,1.08,22.983764128158732
676475,Alec Burleson,L,STL,3,David Peterson,L,656849.0,823025,CHC @ STL,4:45 PM,27/07,Scheduled,0.7016248094687404,,,,False,1111010101,estimated,2,0,0.0,0.32436169216198707,0.37757174905294444,0.46519734918540545,0.400099106276344,0.2097834599224168,20,1,-0.026745495495495486,1.031,31.6,F,0.2653061224489796,1.7778510682481206,0.4323198647791432,0.1672820176792998,20,5,0,0.2604166666666667,0.28716216216216217,0.5299727520435967,0.3480926430517711,0.12193460490463215,0.29791526563550774,0.24169530355097366,0.34115523465703973,0.28879753340184994,0.28270042194092826,256,0.27741935483870966,176,False,False,0.6715968953314819,0.03002791413725847,3.843137254901961,4.235294117647059,102,,,,,,,0.04236631326457925,20,5.97,1.56,89.0,5.0,7.0,74.0,38.0,1.0,0.0,1.0,12.0,SP,20.0,406.0,101.0,20.3,7.48,3.84,10.21,0.91,20.36313801953377
664040,Brandon Lowe,L,PIT,3,Merrill Kelly,R,518876.0,823353,AZ @ PIT,3:40 PM,27/07,Scheduled,0.7016095217539481,,,,False,0111010100,estimated,0,0,0.0,0.195161858702923,0.3432242323524324,0.42733691632335324,0.30959499327387535,0.34149445596844064,20,2,0.06097403990559963,1.013,21.5,F,0.2456246228123114,1.7513758344826067,0.46776978516241063,0.14761454737618726,18,4,0,0.189873417721519,0.25084745762711863,0.5130224106602059,0.22652937613567534,0.2604482132041187,0.24172856178257934,0.21783088235294118,0.2291220556745182,0.2324128862590401,0.2374429223744292,249,0.23870967741935484,175,False,False,0.6442160491495114,0.057393472604436724,3.9368421052631577,4.463157894736842,95,,,,,,,-0.19654561673858717,20,5.12,1.48,103.2,8.0,8.0,65.0,41.0,0.0,0.0,0.0,18.0,SP,18.0,451.0,112.0,25.1,5.64,3.56,9.72,1.91,24.721412713805172
668715,Spencer Steer,R,CIN,4,Slade Cecconi,R,677944.0,824490,CLE @ CIN,4:10 PM,27/07,Scheduled,0.7005014598404093,,,,False,0101110000,estimated,0,0,0.0,0.1971373328883649,0.2726280858830717,0.41767262342240885,0.23550450522187333,0.1596278683194424,20,2,-0.10628912919749575,1.083,44.6,D,0.26365237815619497,2.6200953619964724,0.4156959126477068,0.18304633631094253,20,4,0,0.32142857142857145,0.2151394422310757,0.7271655863288156,0.2498526812021214,0.022981732469063054,0.22513812154696133,0.21912350597609562,0.26223776223776224,0.22721798474508229,0.23834196891191708,223,0.24647887323943662,155,False,False,0.672734920696127,0.0277665391442824,3.526315789473684,3.9789473684210526,95,,,,,,,-0.19990038356673392,20,4.6,1.45,103.2,4.0,7.0,82.0,34.0,0.0,0.0,0.0,20.0,SP,20.0,455.0,116.0,22.8,7.12,2.95,10.07,1.3,22.793051610783674
