batter_id,name,batter_hand,team,slot,pitcher,pitcher_hand,opp_pitcher_id,game_pk,matchup,start_time,game_date,game_state,p_hit,hit_odds,no_hit_odds,yes_cents,has_hit,last5,lineup_source,bvp_ab,bvp_h,bvp_avg,b_hit_rate,b_xba,b_hardhit,b_n_games,b_days_rest,platoon_adv,park_factor,p_rating,p_grade,p_csw,p_k_bb,p_hardhit_allowed,p_n_games,p_days_rest,is_opener
596019,Francisco Lindor,L,NYM,2,Shota Imanaga,L,684007,823611,CHC @ NYM,4:10 PM,24/06,Final,0.659699594048584,,,60.0,False,11011,live,0,0,0.0,0.30526027673929784,0.3442615656514922,0.5332255018918763,20,63,0,0.935,80.1,A,0.29451038575667654,3.723167099833216,0.3673002546921191,15,9,0
679845,Nick Loftin,R,KC,2,Griffin Jax,R,643377,822965,KC @ TB,3:40 PM,24/06,Final,0.659699594048584,-134,101,,False,10111,live,0,0,0.0,0.3001011908865704,0.36426693437834734,0.3443716167233818,20,1,0,0.955,46.9,D,0.3024193548387097,2.7726898873233266,0.4444199716763514,20,5,0
695600,Carter Jensen,L,KC,1,Griffin Jax,R,643377,822965,KC @ TB,3:40 PM,24/06,Final,0.659699594048584,-140,106,,True,11111,live,0,0,0.0,0.320918313584085,0.37292387418196965,0.4961700109814611,20,1,1,0.955,46.9,D,0.3024193548387097,2.7726898873233266,0.4444199716763514,20,5,0
668930,Brice Turang,L,MIL,3,Rhett Lowder,R,695076,824500,MIL @ CIN,4:10 PM,24/06,Final,0.6589254091808731,,,,True,10111,live,0,0,0.0,0.29029298713249463,0.3514593587844701,0.4005020288042846,20,1,1,1.0,33.8,F,0.26944140197152244,1.1878110803629596,0.4274294256980982,11,5,0
701807,Carson Benge,L,NYM,1,Javier Assad,R,665871,823613,CHC @ NYM,10:10 AM,24/06,Final,0.6589254091808731,,,,False,11111,live,5,1,0.2,0.26179425659070144,0.3982043457021776,0.39781659716563555,20,1,1,0.935,56.1,C,0.23238380809595202,3.475232498137665,0.4350064149228914,11,7,0
701675,Nathan Church,L,STL,3,Mitch Bratt,R,683352,823041,AZ @ STL,4:45 PM,24/06,Final,0.6589254091808731,-185,138,,False,11110,live,0,0,0.0,0.3489942672960774,0.31043546507399056,0.23712186448360703,20,1,1,1.035,,,,,,0,0,0
641487,J. P. Crawford,L,SEA,1,Braxton Ashcraft,R,677952,823367,SEA @ PIT,3:40 PM,24/06,Final,0.6587036306974349,-191,143,,True,00011,live,0,0,0.0,0.264087904053214,0.3715780489168063,0.31525604915676747,20,1,1,1.01,81.8,A,0.30844645550527905,4.622221541902185,0.3859313993331801,15,7,0
664983,Jake Mccarthy,L,COL,6,Ranger Suarez,L,624133,824341,BOS @ COL,12:10 PM,24/06,Final,0.657631884250684,-242,179,,True,11111,live,0,0,0.0,0.31638083839321185,0.3210468836560328,0.23804896531890937,20,1,0,1.165,71.6,B,0.27712854757929883,3.0373770532253577,0.31495275665079464,14,5,0
607043,Brandon Nimmo,L,TEX,4,Eury Pérez,R,691587,823850,TEX @ MIA,9:10 AM,24/06,Final,0.6573775173569588,-203,151,62.0,False,11111,live,0,0,0.0,0.3471984273778577,0.4088137131507725,0.563577921616308,20,1,1,1.035,55.2,C,0.27631578947368424,3.0047345755298283,0.3787334389346216,12,28,0
686217,Sal Frelick,L,MIL,7,Rhett Lowder,R,695076,824500,MIL @ CIN,4:10 PM,24/06,Final,0.6573775173569588,-205,153,,True,10010,live,0,0,0.0,0.23022900076140218,0.24534414525371379,0.29209817278312167,20,2,1,1.0,33.8,F,0.26944140197152244,1.1878110803629596,0.4274294256980982,11,5,0
