batter_id,name,batter_hand,team,slot,pitcher,pitcher_hand,opp_pitcher_id,game_pk,matchup,start_time,game_date,game_state,p_hit,hit_odds,no_hit_odds,yes_cents,has_hit,last5,lineup_source,bvp_ab,bvp_h,bvp_avg,bvp_career,bvp_since,b_hit_rate,b_xba,b_hardhit,b_babip,b_k_rate,b_n_games,b_days_rest,split_diff,park_factor,p_rating,p_grade,p_csw,p_k_bb,p_hardhit_allowed,p_k_rate,p_n_games,p_days_rest,is_opener,b_hit_rate_vs_L,b_hit_rate_vs_R,p_use_fb,p_use_bb,p_use_os,b_hr_vs_fb,b_hr_vs_bb,b_hr_vs_os,b_hr_overall,b_hit_rate_vs_sp,b_pa_vs_sp,b_hit_rate_vs_rp,b_pa_vs_rp,b_is_rookie,p_is_rookie,base_p_hit,matchup_delta,b_avg_ab,b_avg_pa,b_games_played,p_multihit,base_p_multihit,p_multihit_matchup_delta,p_hrRbi,base_p_hrRbi,p_hrRbi_matchup_delta,b_quality_first3,b_n_games_first3,p_era,p_whip_official,p_ip,p_wins,p_losses,p_so,p_bb_official,p_saves,p_blown_saves,p_save_opps,p_games_started,p_role,p_games_pitched,p_bf_official,p_hits_allowed,p_bf_per_g,p_k9,p_bb9,p_h9,p_hr9,p_avg_bf,pen_delta,pen_available_n,pen_rested_frac,def_oaa_tonight,def_oaa_n,sched_games_7d,sched_day_after_night,sched_getaway,sched_tz_shift,b_pa,b_bb_rate,b_hit_rate_long,b_k_rate_long,b_bb_rate_long,b_hardhit_long,b_xba_long,p_hit_rate_vs_hand,slot_pa_exp,def_babip_allowed
670541,Yordan Álvarez,L,HOU,2,Grayson Rodriguez,R,680570,824002,HOU @ LAA,6:38 PM,29/07,Pre-Game,0.7657353312752445,-270.0,285.0,73.0,False,1111110011,live,7,0,0.0,1,2023,0.34871752839341075,0.42068621594060157,0.5811255377299107,0.4213903865344993,0.184512156868309,20,2,0.07408534523568,0.979,14.9,F,0.24765729585006693,1.6636425282189424,0.5463636866293323,0.1504983781333481,9,6,0,0.27358490566037735,0.34767025089605735,0.5364864864864864,0.2418918918918919,0.22162162162162163,0.33126293995859213,0.29232505643340856,0.38548387096774195,0.3317932428530176,0.3543307086614173,299,0.2748091603053435,166,False,False,0.6986131013572443,0.06712222991800021,3.6320754716981134,4.386792452830188,106,,,,,,,0.12022192884218794,20,8.54,1.79,39.0,3.0,3.0,30.0,19.0,0.0,0.0,0.0,9.0,SP,9.0,186.0,51.0,20.7,6.92,4.38,11.77,1.62,20.628626261376958,-0.07353533127524459,2,0.25,-4.0,7,6,0,1,0.0,4.55,0.10919847659333662,0.31627906976744186,0.18323586744639375,0.10916179337231968,0.5344246031746032,0.41611607142857143,0.3888888888888889,4.348,0.31240762059585653
665161,Jeremy Peña,R,HOU,1,Grayson Rodriguez,R,680570,824002,HOU @ LAA,6:38 PM,29/07,Pre-Game,0.7235568097984064,,,,False,1111111111,live,6,2,0.3333333333333333,1,2023,0.38689546325638285,0.4774221870251767,0.4829323809101243,0.5743098435914404,0.23859512364731206,20,2,0.10618729096989965,0.979,14.9,F,0.24765729585006693,1.6636425282189424,0.5463636866293323,0.1504983781333481,9,6,0,0.23076923076923078,0.33695652173913043,0.5364864864864864,0.2418918918918919,0.22162162162162163,0.3249243188698285,0.3,0.29457364341085274,0.31121399176954734,0.3181818181818182,168,0.3048780487804878,92,False,False,0.6857548271844749,0.03780198261393153,3.933333333333333,4.333333333333333,60,,,,,,,0.21976530658818588,20,8.54,1.79,39.0,3.0,3.0,30.0,19.0,0.0,0.0,0.0,9.0,SP,9.0,186.0,51.0,20.7,6.92,4.38,11.77,1.62,20.628626261376958,-0.04255680979840637,2,0.25,-4.0,7,6,0,1,0.0,4.65,0.042055453937169314,0.301255230125523,0.18666666666666668,0.06666666666666667,0.42407894736842106,0.3561921052631579,0.23529411764705882,4.44,0.31240762059585653
650333,Luis Arráez,L,SF,1,Thomas Pannone,R,623381,823192,MIL @ SF,12:45 PM,29/07,Final,0.7168375027269484,-270.0,285.0,73.0,True,1110011111,live,0,0,0.0,0,0,0.3017159968450081,0.29685237513360757,0.06993113153877388,0.34921424180958444,0.09004915027814621,20,1,-0.01552795031055898,0.994,,,,,,,0,0,0,0.33695652173913043,0.32142857142857145,,,,0.3640416047548291,0.3389592123769339,0.31527093596059114,0.35096610706366804,0.37344398340248963,262,0.25157232704402516,180,False,False,0.728345202888609,-0.011507700161660694,4.0,4.42,100,,,,,,,0.1674134154330692,20,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,1.0,5.0,0.0,5.0,9.0,9.0,0.0,0.0,,0.0070874972730515795,4,0.5714285714285714,7.0,7,6,1,1,0.0,4.65,0.041385338896290765,0.32983193277310924,0.045714285714285714,0.047619047619047616,0.20737463126843658,0.3082245575221239,,4.44,0.3119194476353623
702284,Cole Young,L,SEA,1,Eric Lauer,L,641778,823924,SEA @ LAD,7:10 PM,29/07,Pre-Game,0.7117097398609346,-170.0,178.0,63.0,False,1100010111,live,0,0,0.0,0,0,0.25343521139616376,0.30947504046214014,0.3739013969692106,0.2956851616663525,0.11281663082819811,20,2,0.03933747412008279,0.973,54.7,C,0.23787878787878788,1.8921080614692298,0.35965391461329266,0.14575317270465785,16,8,0,0.2857142857142857,0.2463768115942029,0.6322971948445792,0.20849128127369218,0.15921152388172857,0.2293882978723404,0.24021592442645073,0.21897810218978103,0.2306245297215952,0.2544642857142857,246,0.2621951219512195,185,False,False,0.6795166249485156,0.03219311491241894,3.6261682242990654,4.02803738317757,107,,,,,,,0.15615109986506895,20,4.83,1.26,82.0,5.0,5.0,52.0,28.0,0.0,1.0,1.0,13.0,SP,16.0,346.0,75.0,21.6,5.71,3.07,8.23,2.2,22.204096407928276,-0.04045259700379167,7,0.875,14.0,7,6,0,0,0.0,4.65,0.05043392690853186,0.24764150943396226,0.17057569296375266,0.06183368869936034,0.39098837209302323,0.3234127906976744,0.25806451612903225,4.44,0.30464605687250107
682818,Yohendrick Pinango,L,TOR,1,Zack Littell,R,641793,822702,TOR @ WSH,10:05 AM,29/07,Final,0.6973987885965958,-9900.0,9900.0,99.0,True,0110110000,live,0,0,0.0,0,0,0.13460228952818903,0.39483885603302316,0.4340333137519715,0.2224784133060365,0.3435513978079081,20,1,0.24327784891165172,1.04,34.7,F,0.23617153511497824,2.5739519668582056,0.44158985310733523,0.16884559460204374,20,5,0,0.045454545454545456,0.2887323943661972,0.418170504044804,0.37834474175482263,0.20348475420037337,0.24753867791842477,0.2023121387283237,0.3440366972477064,0.25176470588235295,0.25471698113207547,112,0.25862068965517243,63,True,False,0.6674663956272546,0.029932392969341137,2.9285714285714284,3.125,56,,,,,,,-0.15245883969656657,20,4.94,1.34,105.2,7.0,8.0,68.0,34.0,0.0,0.0,0.0,14.0,SP,22.0,454.0,108.0,20.6,5.79,2.9,9.2,2.13,20.60726345652533,-0.020732121929929015,6,0.75,2.0,7,7,1,1,0.0,4.65,0.08104706918512479,0.2621951219512195,0.25142857142857145,0.06285714285714286,0.4666666666666667,0.359225,0.2747747747747748,4.44,0.3225987976012055
664770,Nathan Lukes,L,TOR,2,Zack Littell,R,641793.0,822702,TOR @ WSH,10:05 AM,29/07,Final,0.6936170299570938,178.0,-133.0,36.0,False,0111011001,live,0,0,0.0,0,0,0.25509024990351986,0.2404095261249686,0.2604595585912717,0.30475014060774863,0.13715468589171506,20,1,0.039855072463768126,1.04,34.7,F,0.23617153511497824,2.5739519668582056,0.44158985310733523,0.16884559460204374,20,5,0,0.25,0.2898550724637681,0.418170504044804,0.37834474175482263,0.20348475420037337,0.2530730296456978,0.26666666666666666,0.3333333333333333,0.2661560555289612,0.2483221476510067,161,0.3488372093023256,97,False,False,0.6795166249485156,0.014100405008578232,3.3098591549295775,3.6338028169014085,71,,,,,,,0.029272898704387443,20,5.17,1.34,101.0,7.0,8.0,66.0,31.0,0.0,0.0,0.0,13.0,SP,21.0,434.0,104.0,20.7,5.88,2.76,9.27,2.23,20.60726345652533,-0.004931315671379499,7,0.7777777777777778,4.0,7,7,1,1,0.0,4.55,0.057507359666943134,0.2803030303030303,0.1543778801843318,0.059907834101382486,0.33814589665653494,0.30451063829787234,0.2747747747747748,4.348,0.3225987976012055
678882,Ceddanne Rafaela,R,BOS,2,Jacob Lopez,L,682052,824973,BOS @ ATH,6:40 PM,29/07,Pre-Game,0.6935530817209762,-223.0,245.0,69.0,False,1110110111,live,0,0,0.0,0,0,0.251983672612401,0.3123105045393219,0.355388973807937,0.3367803026379972,0.20721451530867957,20,2,-0.0020273531777956766,0.977,60.4,C,0.2595606183889341,1.565781318017404,0.31446420910725537,0.19210541481573926,16,6,0,0.2743362831858407,0.27636363636363637,0.5903908794788274,0.31840390879478825,0.09120521172638436,0.28154761904761905,0.2595338983050847,0.2442528735632184,0.27095908786049633,0.2672413793103448,247,0.28846153846153844,167,False,False,0.6721371888979003,0.021415892823075877,3.919191919191919,4.181818181818182,99,,,,,,,0.1006122833265261,20,6.12,1.67,64.2,5.0,4.0,53.0,40.0,0.0,0.0,0.0,13.0,SP,16.0,302.0,68.0,18.9,7.38,5.57,9.46,1.53,18.092189088737108,-0.014341970609865085,9,0.9,-2.0,7,7,0,0,0.0,4.55,0.011223854835172041,0.28665207877461707,0.19959266802443992,0.05295315682281059,0.3465645311049211,0.2998644382544104,0.2857142857142857,4.348,0.34820445519263393
691176,Jasson Domínguez,L,NYY,3,Davis Martin,R,663436,824567,NYY @ CWS,4:40 PM,29/07,In Progress,0.6676469784268976,,,,False,1011111011,live,0,0,0.0,0,0,0.28593030140476694,0.31957908151831715,0.3859959071330476,0.342997519935483,0.16277932065033612,20,1,-0.06623931623931625,0.968,40.9,D,0.27191011235955054,2.3589308548330945,0.4321238948230626,0.19094474611653514,20,5,0,0.2777777777777778,0.21153846153846154,0.5818077803203662,0.2768878718535469,0.14130434782608695,0.20684523809523808,0.2047244094488189,0.2478134110787172,0.21749408983451538,0.2079207920792079,109,0.28,79,False,False,0.632858866611956,0.03478811181494157,3.8260869565217392,4.086956521739131,46,,,,,,,0.2826542973120991,20,3.49,1.27,111.0,9.0,5.0,100.0,33.0,0.0,0.0,0.0,20.0,SP,20.0,463.0,108.0,23.1,8.11,2.68,8.76,0.49,22.77000450181915,-0.06551364509356428,3,0.375,12.0,7,7,0,0,0.0,4.12,0.025102733878231052,0.2542372881355932,0.22595078299776286,0.05592841163310962,0.4508547008547008,0.3154935897435897,0.24896265560165975,3.895,0.3091625376645602
668227,Randy Arozarena,R,SEA,2,Eric Lauer,L,641778,823924,SEA @ LAD,7:10 PM,29/07,Pre-Game,0.6883346190466105,-194.0,203.0,66.0,False,0110111110,live,0,0,0.0,0,0,0.2576998611022838,0.33832345540540154,0.39277317984813565,0.30343224672226543,0.19620463836422444,20,2,-0.01893280931146546,0.973,54.7,C,0.23787878787878788,1.8921080614692298,0.35965391461329266,0.14575317270465785,16,8,0,0.26732673267326734,0.2862595419847328,0.6322971948445792,0.20849128127369218,0.15921152388172857,0.2492803684513529,0.23623623623623624,0.25,0.24535433070866142,0.2544642857142857,266,0.3237410071942446,158,False,False,0.6490686922431407,0.03926592680346985,3.6666666666666665,4.282828282828283,99,,,,,,,0.14381849851670822,20,4.83,1.26,82.0,5.0,5.0,52.0,28.0,0.0,1.0,1.0,13.0,SP,16.0,346.0,75.0,21.6,5.71,3.07,8.23,2.2,22.204096407928276,-0.04876319047518207,7,0.875,14.0,7,6,0,0,0.0,4.55,0.07770448107603305,0.273972602739726,0.22807017543859648,0.0935672514619883,0.42840083073727936,0.33129127725856694,0.23790322580645162,4.348,0.30464605687250107
663616,Trevor Larnach,L,MIN,1,Randy Dobnak,R,677976,823677,KC @ MIN,4:40 PM,29/07,In Progress,0.6857548271844749,-138.0,163.0,58.0,False,1110111110,live,0,0,0.0,0,0,0.3119435373740613,0.3321378231191717,0.3345154831194288,0.3638622178451541,0.13849437508943407,20,1,-0.04375804375804376,1.022,51.9,C,0.256797583081571,,,,4,6,0,0.3333333333333333,0.28957528957528955,0.5015105740181269,0.27794561933534745,0.22054380664652568,0.281651376146789,0.30701754385964913,0.27533460803059273,0.28838625489343195,0.3081395348837209,197,0.26666666666666666,123,False,False,0.6751601674282418,0.010594659756233082,3.1839080459770117,3.67816091954023,87,,,,,,,0.04471802092229355,20,1.42,1.37,19.0,0.0,0.0,10.0,9.0,0.0,0.0,0.0,2.0,RP,4.0,80.0,17.0,20.0,4.74,4.26,8.05,0.95,,-0.003340541470189251,7,0.7777777777777778,0.0,7,6,0,0,0.0,4.65,0.09758174153493827,0.28717948717948716,0.18120805369127516,0.10514541387024609,0.3725997842502697,0.3202621359223301,0.25,4.44,0.3173100934196813
