batter_id,name,batter_hand,team,slot,pitcher,pitcher_hand,opp_pitcher_id,game_pk,matchup,start_time,game_date,game_state,p_hit,hit_odds,no_hit_odds,yes_cents,has_hit,last5,lineup_source,bvp_ab,bvp_h,bvp_avg,b_hit_rate,b_xba,b_hardhit,b_babip,b_k_rate,b_n_games,b_days_rest,split_diff,park_factor,p_rating,p_grade,p_csw,p_k_bb,p_hardhit_allowed,p_k_rate,p_n_games,p_days_rest,is_opener,b_hit_rate_vs_L,b_hit_rate_vs_R,p_use_fb,p_use_bb,p_use_os,b_hr_vs_fb,b_hr_vs_bb,b_hr_vs_os,b_hr_overall,b_hit_rate_vs_sp,b_pa_vs_sp,b_hit_rate_vs_rp,b_pa_vs_rp,b_is_rookie,p_is_rookie,base_p_hit,matchup_delta,b_avg_ab,b_avg_pa,b_games_played,p_multihit,base_p_multihit,p_multihit_matchup_delta,p_hrRbi,base_p_hrRbi,p_hrRbi_matchup_delta,b_quality_first3,b_n_games_first3,lean_tag,p_era,p_whip_official,p_ip,p_wins,p_losses,p_so,p_bb_official,p_saves,p_blown_saves,p_save_opps,p_games_started,p_role,p_games_pitched,p_bf_official,p_hits_allowed,p_bf_per_g,p_k9,p_bb9,p_h9,p_hr9,p_avg_bf
621439,Byron Buxton,R,MIN,2,Brady Basso,L,669620,823679,ATH @ MIN,4:10 PM,25/07,Pre-Game,0.7572702397523036,-223.0,245.0,69.0,False,0100111110,live,0,0,0.0,0.3125829056770216,0.37697575703796155,0.5190381514001378,0.417073608513129,0.15869669169804398,20,1,0.028030303030303072,1.022,45.9,D,0.27972027972027974,4.755953826505603,0.5475172086358436,0.19058015271169743,7,4,0,0.2916666666666667,0.2636363636363636,0.8251748251748252,0.15384615384615385,0.02097902097902098,0.2516904583020286,0.2596537949400799,0.23653395784543327,0.251394422310757,0.29901960784313725,219,0.22321428571428573,128,False,False,0.6952872353618345,0.06198300439046911,4.051282051282051,4.448717948717949,78,,,,,,,0.1400137765797758,20,STRONG,6.48,1.92,8.1,0,0,7,2,0,1,1,0,RP,7,41,14,5.9,7.56,2.16,15.12,1.08,5.92626101287218
805779,Jacob Wilson,R,ATH,1,Mike Paredes,R,702474,823679,ATH @ MIN,4:10 PM,25/07,Pre-Game,0.752274632767118,-245.0,285.0,71.0,False,1111111110,live,0,0,0.0,0.2880502251646743,0.3377631794787052,0.2744568963752716,0.32970336813419127,0.09653565218286521,20,1,-0.011269671912510049,1.022,32.0,F,0.23369565217391305,1.6727981551303326,0.5018666527830663,0.14346091284704457,9,4,0,0.29347826086956524,0.2822085889570552,0.5245009074410163,0.21960072595281308,0.2558983666061706,0.2917748917748918,0.28888888888888886,0.2760416666666667,0.28888888888888886,0.29936305732484075,165,0.2653061224489796,104,False,True,0.6879098785140929,0.06436475425302512,4.0476190476190474,4.26984126984127,63,,,,,,,0.23529736430269121,20,STRONG,4.72,1.43,34.1,0,3,19,13,0,0,0,5,SP,9,154,36,17.1,4.98,3.41,9.44,1.57,17.055177644565095
672640,Otto Lopez,R,MIA,1,Randy Vásquez,R,681190,823841,SD @ MIA,1:10 PM,25/07,In Progress,0.7464046199908921,4900.0,-270.0,2.0,False,1100011011,live,0,0,0.0,0.25875016992379785,0.2700536869052454,0.30547069980566055,0.276364810531074,0.1422506239496268,20,1,-0.07604275040196729,1.0,21.0,F,0.24831763122476447,2.438788186110287,0.4652021365600686,0.14061354919433933,19,3,0,0.3853211009174312,0.30927835051546393,0.6842105263157895,0.23346828609986506,0.08232118758434548,0.3619233268356075,0.3022181146025878,0.34868421052631576,0.3389665258368541,0.3319672131147541,264,0.3269230769230769,170,False,False,0.6791162866979722,0.06728833329291994,4.0,4.34,100,,,,,,,0.18126859948451185,20,STRONG,4.68,1.51,90.1,6,6,63,29,0,0,0,17,SP,20,396,107,19.8,6.28,2.89,10.66,1.39,19.026315009573285
681715,Heriberto Hernandez,R,MIA,3,Randy Vásquez,R,681190,823841,SD @ MIA,1:10 PM,25/07,In Progress,0.7343623650626122,,,,False,1111011111,live,0,0,0.0,0.3227967026008606,0.46244124074686976,0.5768021409713452,0.5352351838657569,0.31249657439052964,20,1,0.06050670640834574,1.0,21.0,F,0.24831763122476447,2.438788186110287,0.4652021365600686,0.14061354919433933,19,3,0,0.21818181818181817,0.2786885245901639,0.6842105263157895,0.23346828609986506,0.08232118758434548,0.2370088719898606,0.20926243567753003,0.23715415019762845,0.22883435582822087,0.19327731092436976,134,0.30973451327433627,124,False,False,0.6644166274304523,0.06994573763215994,3.135135135135135,3.4864864864864864,74,,,,,,,0.22184552551732276,20,STRONG,4.68,1.51,90.1,6,6,63,29,0,0,0,17,SP,20,396,107,19.8,6.28,2.89,10.66,1.39,19.026315009573285
695720,Thomas White,R,ATH,5,Mike Paredes,R,702474,823679,ATH @ MIN,4:10 PM,25/07,Pre-Game,0.7325204484155418,,,,False,101101,live,0,0,0.0,0.28026341995069304,0.2986772948190981,0.3083046411459396,0.28026341995069304,0.0,6,1,-0.3181818181818182,1.022,32.0,F,0.23369565217391305,1.6727981551303326,0.5018666527830663,0.14346091284704457,9,4,0,0.5,0.18181818181818182,0.5245009074410163,0.21960072595281308,0.2558983666061706,0.32894736842105265,0.358974358974359,0.26666666666666666,0.33076923076923076,0.3333333333333333,13,0.36363636363636365,12,True,True,0.6738796137297758,0.058640834685765975,3.8333333333333335,4.166666666666667,6,,,,,,,,6,STRONG,4.72,1.43,34.1,0,3,19,13,0,0,0,5,SP,9,154,36,17.1,4.98,3.41,9.44,1.57,17.055177644565095
641680,Jonah Heim,L,ATH,4,Mike Paredes,R,702474,823679,ATH @ MIN,4:10 PM,25/07,Pre-Game,0.7313004784743212,-170.0,186.0,63.0,False,1100111111,live,0,0,0.0,0.2557032415457376,0.341758232284408,0.3398707436668453,0.3174878287085496,0.2191507526828919,20,3,0.003636363636363632,1.022,32.0,F,0.23369565217391305,1.6727981551303326,0.5018666527830663,0.14346091284704457,9,4,0,0.23636363636363636,0.24,0.5245009074410163,0.21960072595281308,0.2558983666061706,0.23645970937912814,0.21232876712328766,0.24899598393574296,0.23343605546995377,0.24299065420560748,115,0.23076923076923078,88,False,True,0.6701201979476205,0.06118028052670077,3.3035714285714284,3.625,56,,,,,,,0.10907996731204055,20,STRONG,4.72,1.43,34.1,0,3,19,13,0,0,0,5,SP,9,154,36,17.1,4.98,3.41,9.44,1.57,17.055177644565095
663616,Trevor Larnach,L,MIN,1,Brady Basso,L,669620,823679,ATH @ MIN,4:10 PM,25/07,Pre-Game,0.7287492177472297,-178.0,203.0,64.0,False,0111101111,live,0,0,0.0,0.3624630507015348,0.3652854045689726,0.36028840685614205,0.4143005183681793,0.1355544121063686,20,2,0.06531406336853807,1.022,45.9,D,0.27972027972027974,4.755953826505603,0.5475172086358436,0.19058015271169743,7,4,0,0.35714285714285715,0.2918287937743191,0.8251748251748252,0.15384615384615385,0.02097902097902098,0.28800755429650615,0.3075780089153046,0.2807017543859649,0.29283489096573206,0.31547619047619047,192,0.2621359223300971,121,False,False,0.6791162866979722,0.04963293104925748,3.1882352941176473,3.6823529411764704,85,,,,,,,0.09785947767304796,20,STRONG,6.48,1.92,8.1,0,0,7,2,0,1,1,0,RP,7,41,14,5.9,7.56,2.16,15.12,1.08,5.92626101287218
691016,Tyler Soderstrom,L,ATH,3,Mike Paredes,R,702474,823679,ATH @ MIN,4:10 PM,25/07,Pre-Game,0.7265546932625863,-212.0,223.0,68.0,False,0101111111,live,0,0,0.0,0.27820826606554366,0.3929573561743463,0.433795849285788,0.4029867407341243,0.20169828084587899,20,1,-0.022261887054390417,1.022,32.0,F,0.23369565217391305,1.6727981551303326,0.5018666527830663,0.14346091284704457,9,4,0,0.26506024096385544,0.24279835390946503,0.5245009074410163,0.21960072595281308,0.2558983666061706,0.2582831325301205,0.26238286479250333,0.2879120879120879,0.2650078988941548,0.26804123711340205,228,0.2196969696969697,150,False,True,0.6791162866979722,0.047438406564614066,3.5824175824175826,4.153846153846154,91,,,,,,,0.21360671360231454,20,STRONG,4.72,1.43,34.1,0,3,19,13,0,0,0,5,SP,9,154,36,17.1,4.98,3.41,9.44,1.57,17.055177644565095
691594,Javier Sanoja,R,MIA,6,Randy Vásquez,R,681190,823841,SD @ MIA,1:10 PM,25/07,In Progress,0.7260151091571724,4900.0,-144.0,2.0,False,0011101110,live,0,0,0.0,0.2723243097736428,0.27735350665960007,0.31212935724165597,0.2777487424712843,0.027410620913951862,20,1,0.006060606060606044,1.0,21.0,F,0.24831763122476447,2.438788186110287,0.4652021365600686,0.14061354919433933,19,3,0,0.26666666666666666,0.2727272727272727,0.6842105263157895,0.23346828609986506,0.08232118758434548,0.2560646900269542,0.26679841897233203,0.2727272727272727,0.26148409893992935,0.2868217054263566,135,0.25396825396825395,136,False,False,0.6827644847928735,0.04325062436429883,3.269230769230769,3.4743589743589745,78,,,,,,,0.13227656803186577,20,STRONG,4.68,1.51,90.1,6,6,63,29,0,0,0,17,SP,20,396,107,19.8,6.28,2.89,10.66,1.39,19.026315009573285
643446,Jeff Mcneil,L,ATH,7,Mike Paredes,R,702474,823679,ATH @ MIN,4:10 PM,25/07,Pre-Game,0.7242701766314075,-163.0,186.0,62.0,False,1100101010,live,0,0,0.0,0.2847942265863123,0.35247158365557346,0.4230020012244982,0.29352058740906595,0.015857327895201848,20,1,0.08227848101265825,1.022,32.0,F,0.23369565217391305,1.6727981551303326,0.5018666527830663,0.14346091284704457,9,4,0,0.16666666666666666,0.2489451476793249,0.5245009074410163,0.21960072595281308,0.2558983666061706,0.2236328125,0.21568627450980393,0.2556818181818182,0.22810931399888454,0.2564102564102564,173,0.21138211382113822,137,False,True,0.6615410628622665,0.06272911376914092,3.065934065934066,3.4065934065934065,91,,,,,,,-0.04500224731230019,20,STRONG,4.72,1.43,34.1,0,3,19,13,0,0,0,5,SP,9,154,36,17.1,4.98,3.41,9.44,1.57,17.055177644565095
